Asset,Strategy,Long Threshold,Short Threshold,Cumulative Return,Annualized Return,Annualized Volatility,Annualized Sharpe,Maximum Drawdown,Turnover,Number of Trades,Avg Return per Trade,Precision,Recall,Accuracy,TP,FP,FN,TN
BTC,XGBoost,0.6300000000000001,,-0.02290216297278025,-0.01839070440876156,0.04614682040329308,-0.37914442919633623,-0.045633300952269695,108.0,108.0,-5.4529930365602124e-05,0.5614035087719298,0.005765765765765766,0.49304920431680993,32.0,25.0,5518.0,5359.0
ETH,XGBoost,0.7200000000000002,,0.1796345070273604,0.14151590359748956,0.08250872598734653,1.645166337508312,-0.048388477850398126,90.0,90.0,0.004114695550552821,0.6304347826086957,0.0052092689060535295,0.4919517102615694,29.0,17.0,5538.0,5350.0
XRP,XGBoost,0.7200000000000002,,-0.047696067985358304,-0.03839742987486505,0.15526606892154332,-0.17190488286994038,-0.1737288011424145,32.0,32.0,-0.0017321870976892764,0.6875,0.001998909685626022,0.49725626486189867,11.0,5.0,5492.0,5426.0
SOL,XGBoost,0.6200000000000001,,-0.2571621633811212,-0.21193130881441546,0.19337810837332217,-1.1342794464591022,-0.33755013196112915,408.0,408.0,-0.0010088746215631262,0.48627450980392156,0.022302158273381296,0.4908542162063289,124.0,131.0,5436.0,5243.0
