datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4192928671836853,0.4719725549221039,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0191252286712122,-0.0193104816643469,-0.0,-0.0,1.0,1.0
2024-10-02 09:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.39359188079833984,0.4713307023048401,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0001695489996609,-0.0001695633747174,-0.0,-0.0,1.0,1.0
2024-10-02 10:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.35479217767715454,0.7837889790534973,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0067831100559606,-0.0068062199107218,-0.0,-0.0,1.0,1.0
2024-10-02 11:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.43241357803344727,0.4716868996620178,0.7400000000000002,,True,{},0.0,0.0,0.0,0.0020488304592793,0.0020467344685521,0.0,0.0,1.0,1.0
2024-10-02 12:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.40465107560157776,0.7425392270088196,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0032373487817345,-0.0032426003324323,-0.0,-0.0,1.0,1.0
2024-10-02 13:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.5761733651161194,0.39908814430236816,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0076923076923075,-0.0077220460939101,-0.0,-0.0,1.0,1.0
2024-10-02 14:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.26456090807914734,0.8334951996803284,0.7400000000000002,,True,{},0.0,0.0,0.0,0.0068906115417743,0.0068669797741769,0.0,0.0,1.0,1.0
2024-10-02 15:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.3901030719280243,0.7574986219406128,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0011976047904191,-0.0011983224921087,-0.0,-0.0,1.0,1.0
2024-10-02 16:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.3300256133079529,0.6806286573410034,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0030832476875642,-0.0030880106885766,-0.0,-0.0,1.0,1.0
2024-10-02 17:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.4792596399784088,0.3955099582672119,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0216494845360823,-0.0218872728875005,-0.0,-0.0,1.0,1.0
2024-10-02 18:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.6959507465362549,0.5300173163414001,0.7400000000000002,,True,{},0.0,0.0,0.0,0.0101861608710924,0.0101346315628998,0.0,0.0,1.0,1.0
2024-10-02 19:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.1792254000902176,0.8989413380622864,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.0076495132127957,-0.0076789208041557,-0.0,-0.0,1.0,1.0
2024-10-02 20:00:00+00:00,XRP,XGBoost,ohlc_raw,long_only,no_cost,FLAT,HOLD,0,0.28267455101013184,0.7542842626571655,0.7400000000000002,,True,{},0.0,0.0,0.0,-0.052207428170988,-0.0536196067561997,-0.0,-0.0,1.0,1.0
