Asset,Strategy,Cumulative Return,Annualized Return,Annualized Volatility,Annualized Sharpe,Maximum Drawdown,Turnover,Number of Trades,Avg Return,Signal Return Std,Precision,Recall
BTC,Buy-and-Hold,2.2999348151485974,1.5980817819502415,0.50378469912414,2.147217203300578,-0.3231067713093235,1.0,1.0,0.00012348575031038346,0.005382610074881815,0.5131458827825451,1.0
ETH,Buy-and-Hold,0.9301913429783311,0.6919863618774735,0.6095727326289926,1.1677478996037371,-0.46655063314472434,1.0,1.0,8.125882171041283e-05,0.006512886035892773,0.5089465035603432,1.0
XRP,Buy-and-Hold,2.9674934686757544,2.0104965331183076,0.8553111907044008,1.7152709441529357,-0.4578280419675378,1.0,1.0,0.00016747607689772935,0.009138440766955929,0.5028300164323535,1.0
SOL,Buy-and-Hold,2.342185553527631,2.001117354789133,0.944247771734075,1.6356579079318139,-0.4651841224294133,1.0,1.0,0.0001763089423383372,0.01008866997778376,0.5064462466209191,1.0
