Asset,Cumulative Return,Annualized Return,Annualized Volatility,Annualized Sharpe,Maximum Drawdown,Turnover,Number of Trades,Average Return per Trade,Precision,Recall,Accuracy,TP,FP,FN,TN
BTC,0.4196512654268134,0.3241422531263751,0.4578362145324048,0.8422624528237832,-0.347614791005051,1.0,1.0,0.4196512654268134,0.5076374279703649,1.0,0.5076374279703649,5550.0,5383.0,0.0,0.0
ETH,0.19846576823135775,0.1561077503615187,0.7114372884338669,0.5603115788090733,-0.6528240665971718,1.0,1.0,0.19846576823135775,0.5091008872221714,1.0,0.5091008872221714,5566.0,5367.0,0.0,0.0
XRP,2.047235824080045,1.4418939708426821,0.9509504491310923,1.412404805614459,-0.5121256911370244,1.0,1.0,2.047235824080045,0.5033385164181835,1.0,0.5033385164181835,5503.0,5430.0,0.0,0.0
SOL,-0.15975221756405467,-0.1301750370399738,0.8582333600656762,0.2662120688510822,-0.6606225762498676,1.0,1.0,-0.15975221756405467,0.5084606237995061,1.0,0.5084606237995061,5559.0,5374.0,0.0,0.0
