feature,count,mean,std,min,25%,50%,75%,max
ret_1h_close,43736.0,4.28313684957761e-05,0.0063953123068490846,-0.0895447028423771,-0.002317661711226225,4.520617210845845e-05,0.002477214800056275,0.1231589566219917
log_ret_1h_close,43736.0,2.2374064439786535e-05,0.006397435214521359,-0.093810478045997,-0.002320351646174425,4.5205150322546645e-05,0.00247415156124085,0.1161452121527294
ret_3h,43736.0,0.00012707743253558178,0.011002764359969063,-0.1262260493832058,-0.003996924729400626,0.00011126502157505,0.004282411744599325,0.135249820371669
log_ret_3h,43736.0,6.655297447360291e-05,0.011003030879625147,-0.1349335745173313,-0.004004933781268125,0.0001112588320133,0.0042732683140838746,0.1268527327679162
ret_6h,43736.0,0.000251721253754266,0.015384384754359524,-0.1228329031672723,-0.0056413323878311255,0.00015511440207200002,0.00621776243794455,0.1854464480798108
log_ret_6h,43736.0,0.00013338185242318633,0.015386124979406474,-0.1310577724525117,-0.005657304802240975,0.00015510237307575,0.0061985119086528494,0.170119453069286
ret_12h,43736.0,0.0005015014692626272,0.021647937357527222,-0.1730952059657007,-0.00862158119638105,0.00021744722378235003,0.009463221046547175,0.1763380740419065
log_ret_12h,43736.0,0.0002670186995560146,0.02166204505755798,-0.1900657126722015,-0.008658962037268899,0.0002174235855613,0.0094187252655441,0.1624062860893649
ret_24h,43736.0,0.0010076093429034504,0.030791355868365507,-0.2039687627058104,-0.013012419901717125,0.00053609667438455,0.014737613376710024,0.2332187295979846
log_ret_24h,43736.0,0.0005332309514093301,0.03081244375367353,-0.2281168510758373,-0.013097823115310625,0.00053595302569705,0.014630070086079125,0.2096276047169774
ret_48h,43736.0,0.002020125006311428,0.04267658661486765,-0.2616316471296749,-0.019326415396784,0.0011371759653061,0.02241651590270715,0.2719053429055316
log_ret_48h,43736.0,0.0011100837950848972,0.04265691926459714,-0.3033124557716601,-0.019515612193807052,0.0011365298704385,0.022168958560370402,0.2405160461941551
ret_72h,43736.0,0.0030918909501238693,0.05242704956548152,-0.2860089595519196,-0.023815586328289326,0.0015959968971066998,0.0292768808038576,0.3131330854631007
log_ret_72h,43736.0,0.0017171602602974632,0.05243210097931656,-0.3368848651133287,-0.024103761983421873,0.0015947246438877002,0.028856498210380124,0.2724159500189045
range_pct,43736.0,0.008509108810890119,0.00765132657475209,0.0,0.003962003214114925,0.00641941348815435,0.010507758387381324,0.2270494190089179
body_pct,43736.0,4.2853758506207426e-05,0.006394878822326677,-0.0895447028423772,-0.0023169181947671,4.405446387327921e-05,0.002476311927592075,0.1231586085322297
body_abs_pct,43736.0,0.003967251892311839,0.005015661889306355,0.0,0.001045648063431,0.0023985604656342,0.00492133283136955,0.1231586085322297
upper_shadow_pct,43736.0,0.0021740625053997633,0.0025517784647931824,0.0,0.000607167179917675,0.0014228058744476,0.002853315753836925,0.0717154588767422
lower_shadow_pct,43736.0,0.0023677944131784237,0.0032362278350864505,0.0,0.000642867374663075,0.00151660334190765,0.003010862156290775,0.1485646787165578
body_to_range,43736.0,0.009095502964759555,0.4999545492823978,-0.9999999999999996,-0.41570344701703926,0.0112725682130595,0.43403728369105066,0.9999999999999988
