feat_a,feat_b,corr
taker_buy_base_share,order_flow_imbalance,1.0
taker_buy_base_share,taker_buy_quote_share,0.9999969706094942
taker_buy_quote_share,order_flow_imbalance,0.9999969706094938
ret_1h_close,body_pct,0.9999270035314028
ret_1h_close,log_ret_1h_close,0.999393394398716
log_ret_1h_close,body_pct,0.9993214245050052
vol_z_24,quote_vol_z_24,0.9990665939451372
vol_ratio_24,quote_vol_ratio_24,0.9981598236601434
ret_3h,log_ret_3h,0.9981013277757101
ret_6h,log_ret_6h,0.9962579950377374
ret_12h,log_ret_12h,0.9952874808430626
ema_cross_12_24,macd_line_pct,0.9952735201809708
ret_24h,log_ret_24h,0.9943136900701213
ret_48h,log_ret_48h,0.991771888243943
ret_72h,log_ret_72h,0.9905487615423187
sma_cross_12_48,macd_signal_pct,0.9841467253673831
close_to_sma_72,close_to_ema_72,0.9837516053815215
close_to_sma_24,close_to_ema_24,0.9833022068638254
close_to_sma_48,close_to_ema_48,0.9832838762272853
close_to_sma_12,close_to_ema_12,0.9820761011382665
close_to_ema_48,close_to_ema_72,0.9805389956324011
close_to_sma_6,close_to_ema_6,0.979198718751056
bar_up,bar_down,-0.9789955261372794
close_to_sma_72,close_to_ema_48,0.9653435461906678
close_to_sma_48,ema_cross_12_24,0.9601310572916746
close_to_sma_48,close_to_sma_72,0.9535659004823087
close_to_sma_48,close_to_ema_72,0.9529967842353088
macd_line_pct,macd_signal_pct,0.9512388260026993
close_to_sma_48,macd_line_pct,0.9477246215398097
close_to_ema_24,close_to_ema_48,0.9441660421984952
close_to_ema_12,close_to_ema_24,0.9434421017898998
close_to_ema_6,close_to_ema_12,0.9429103219166093
ret_48h,close_to_sma_72,0.9377105972602118
vol_72h,downside_vol_72h,0.9375499910685239
close_to_ema_48,ema_cross_12_24,0.9369260487272939
ema_cross_12_24,macd_signal_pct,0.93587649242833
log_ret_48h,close_to_sma_72,0.9346521811407883
quote_vol_z_24,trades_z_24,0.9319086829257532
vol_z_24,trades_z_24,0.9316725073476783
sma_cross_12_48,macd_line_pct,0.9306875108836481
close_to_sma_12,close_to_ema_6,0.9306646453095888
log_ret_3h,close_to_sma_6,0.930305550074397
ret_3h,close_to_sma_6,0.9300362668537626
close_to_sma_24,close_to_ema_12,0.9281230384522653
sma_cross_12_48,ema_cross_12_24,0.9258351633819012
close_to_ema_48,macd_line_pct,0.9254338282351171
log_ret_24h,ema_cross_12_24,0.9251186891136359
ret_24h,close_to_sma_48,0.9231371127707071
close_to_sma_48,close_to_ema_24,0.9227961113709887
ret_24h,ema_cross_12_24,0.9217558180773753
close_to_sma_72,ema_cross_12_24,0.9216880049024876
ret_6h,close_to_sma_12,0.9212325939184214
ret_12h,close_to_sma_24,0.9208029521545263
log_ret_6h,close_to_sma_12,0.9207201407101561
log_ret_12h,close_to_sma_24,0.9185232320778342
log_ret_24h,close_to_sma_48,0.9181972753804251
close_to_ema_72,ema_cross_12_24,0.9177263209394535
close_to_sma_72,macd_line_pct,0.9167084343620849
log_ret_24h,macd_line_pct,0.9149258407520529
sma_cross_6_24,ema_cross_12_24,0.912798733176462
vol_24h,atr_14_pct,0.9109558960592934
close_to_ema_72,macd_line_pct,0.9109141586875884
vol_24h,downside_vol_24h,0.9038750991095004
ret_24h,macd_line_pct,0.9036042820960858
close_to_sma_24,close_to_ema_48,0.901438505205174
