asset,mean,std,q05,q95
BTC,4.2924072815429485e-05,0.0063956792881716545,-0.009064945028739075,0.009067383519830625
ETH,6.059660253586946e-05,0.008366534199648928,-0.01215366668544455,0.0120775019362727
XRP,0.00010631419384515716,0.01082601400528409,-0.014027393754174524,0.013905404957122652
SOL,0.00017298596886973093,0.01273742225838462,-0.01776664570021235,0.018447566824035998
