dataset,feature,skew,kurtosis,q01,q05,q95,q99
BTC,fwd_ret_open_1h,-0.013700401441952403,16.229771560200216,-0.01914011828285899,-0.009064945028739075,0.009067383519830625,0.018836091034816402
BTC,fwd_log_ret_open_1h,-0.18639317089881152,15.907060679234371,-0.019325661711033552,-0.0091062816439329,0.009026521616251075,0.018660888539631916
ETH,fwd_ret_open_1h,-0.3827348953126804,13.94204117856061,-0.02503623401313742,-0.01215366668544455,0.0120775019362727,0.024523873032837106
ETH,fwd_log_ret_open_1h,-0.5868876839665098,14.939813607102456,-0.025354972571516105,-0.01222812641322805,0.012005150873734324,0.024227990547203367
XRP,fwd_ret_open_1h,0.6317488560058204,41.193895321540225,-0.029992245919077915,-0.014027393754174524,0.013905404957122652,0.03159562664116922
XRP,fwd_log_ret_open_1h,-0.04347185153185702,39.41417010761203,-0.030451213618991772,-0.014126707479108474,0.013809611820380626,0.031106754328563954
SOL,fwd_ret_open_1h,0.5555307053244892,17.7321040270494,-0.03414992392688741,-0.01776664570021235,0.018447566824035998,0.03750973829310623
SOL,fwd_log_ret_open_1h,0.1829201907103693,17.856035676681376,-0.03474665757293959,-0.017926367188834225,0.018279474577601547,0.03682335933322774
