feature,count,mean,std,min,50%,max
open,43736.0,54428.37721396561,29470.205916380135,15648.23,46562.51,126011.18
high,43736.0,54641.519294860074,29543.84436600631,15769.99,46797.97,126199.63
low,43736.0,54205.83917413572,29393.927249035238,15476.0,46271.025,125252.74
close,43736.0,54429.631386043526,29470.459842943943,15649.52,46563.26,126011.18
volume,43736.0,3107.5694368757086,4725.4560973497455,0.0,1475.60144,137207.1886
quote_asset_volume,43736.0,111608722.02164914,117911976.58478074,0.0,76514996.5089029,3005633669.260812
number_of_trades,43736.0,118457.40257453814,123500.35146552524,0.0,74256.5,3520247.0
taker_buy_base_asset_volume,43736.0,1538.0706837708524,2358.7681469249887,0.0,726.25088,68611.45039
taker_buy_quote_asset_volume,43736.0,55050840.82973962,58927818.90273542,0.0,37506465.799241096,1502976679.7310784
entry_open_t1,43736.0,54429.63018451619,29470.459787490243,15648.23,46562.76,126011.18
exit_open_t2,43736.0,54430.885086884955,29470.709143664757,15648.23,46563.66,126011.18
fwd_ret_open_1h,43736.0,4.2924072815429485e-05,0.0063956792881716545,-0.0895447028423771,4.5401790323751356e-05,0.1226311241801059
fwd_log_ret_open_1h,43736.0,2.246384689138022e-05,0.006397936598357225,-0.093810478045997,4.540075968562657e-05,0.1156751482263481
label_up,43736.0,0.5060590817633072,0.4999690019734478,0.0,1.0,1.0
label_down,43736.0,0.493826595939272,0.49996760340692803,0.0,0.0,1.0
direction_3class,43736.0,0.01223248582403512,0.999879444203187,-1.0,1.0,1.0
