feature,corr
body_abs_pct,0.03287319507832349
range_pct,0.027587794589886864
vol_6h,0.026869160593756988
close_to_sma_6,0.02458860735206257
close_to_ema_6,0.02379612604840104
log_volume,0.023580714450531545
log_ret_1h_close,0.023420516114127474
atr_14_pct,0.023267047453631493
ret_1h_close,0.022430292766769475
body_pct,0.022283374488996414
downside_vol_24h,0.022008644372447927
vol_24h,0.021326408953601467
log_ret_3h,0.018528353886704655
close_to_ema_12,0.018105261214793344
close_to_sma_12,0.017287777739109274
