feature,association_with_label_up
rsi_14,-0.07127893593632612
close_to_ema_6,-0.07119228148179671
close_to_sma_6,-0.06946466264527354
close_to_ema_12,-0.06553392992662917
close_to_sma_12,-0.06362579466910213
log_ret_3h,-0.06313254394774614
ret_3h,-0.062366226450484466
log_ret_6h,-0.05767868544757983
ret_6h,-0.05651177469906131
close_loc,-0.055727568600291294
close_to_ema_24,-0.05534947923642972
body_to_range,-0.054230197673173816
log_ret_1h_close,-0.05335213105907801
ret_1h_close,-0.05287991037000412
body_pct,-0.05270988390128191
