feature,corr
body_abs_pct,0.03331842284389167
range_pct,0.02269445206992537
upper_shadow_pct,0.02234925984430877
close_loc,0.02204685905627341
atr_14_pct,0.016275256942017813
vol_24h,0.01608499653296217
downside_vol_24h,0.015767518810739803
lower_shadow_pct,0.015605093953859235
close_to_sma_6,0.015319809507869256
close_to_ema_6,0.013895644089337942
log_ret_6h,0.013376306112035198
vol_6h,0.013139244533585316
ret_6h,0.012876505346677175
close_to_sma_12,0.012693167604968516
log_ret_24h,0.01256714520406634
