feature,count,mean,std,min,50%,max
open,43736.0,2536.0264850466438,910.4900811624923,904.26,2452.645,4935.01
high,43736.0,2549.5852746021587,915.0244429155296,928.36,2467.115,4956.78
low,43736.0,2521.552847768429,905.5148455751646,881.56,2436.4,4897.31
close,43736.0,2536.0715819919515,910.4628711001068,904.25,2452.66,4935.0
volume,43736.0,24430.06719019824,26908.889064684703,0.0,16193.2132,508838.4049
quote_asset_volume,43736.0,58741751.28486292,63487665.33818198,0.0,40615142.307117,1508981031.83518
number_of_trades,43736.0,72368.14605816719,91180.54324461623,0.0,41055.0,3460538.0
taker_buy_base_asset_volume,43736.0,12144.494791705689,13363.959852624832,0.0,8078.80385,239587.9938
taker_buy_quote_asset_volume,43736.0,29188104.49778795,31449837.906005792,0.0,20155989.723116,749215345.372224
entry_open_t1,43736.0,2536.0723035942924,910.4621126407343,904.26,2452.66,4935.01
exit_open_t2,43736.0,2536.118063151637,910.4339849664157,904.26,2452.7,4935.01
fwd_ret_open_1h,43736.0,6.059660253586946e-05,0.008366534199648928,-0.1307936554603319,7.223306256964879e-05,0.0955501433050309
fwd_log_ret_open_1h,43736.0,2.550440688990476e-05,0.008384003141394484,-0.1401747313401836,7.223045386164551e-05,0.0912566510780163
label_up,43736.0,0.5065392354124748,0.4999629522955145,0.0,1.0,1.0
label_down,43736.0,0.4929120175599049,0.499955473619175,0.0,0.0,1.0
direction_3class,43736.0,0.013627217852569965,0.9996441367282236,-1.0,1.0,1.0
