feat_a,feat_b,corr
taker_buy_base_share,order_flow_imbalance,1.0000000000000018
taker_buy_quote_share,order_flow_imbalance,0.9999975999856106
taker_buy_base_share,taker_buy_quote_share,0.99999759998561
ret_1h_close,body_pct,0.9999893331263027
ret_1h_close,log_ret_1h_close,0.9998571066348162
log_ret_1h_close,body_pct,0.9998469058750451
ret_3h,log_ret_3h,0.9996719548154852
ret_6h,log_ret_6h,0.9995478030131444
vol_z_24,quote_vol_z_24,0.9993117303157109
ret_12h,log_ret_12h,0.999235937036382
vol_ratio_24,quote_vol_ratio_24,0.9990932850742137
bar_up,bar_down,-0.9989029056054115
ret_24h,log_ret_24h,0.9985665163216857
ema_cross_12_24,macd_line_pct,0.9981720979324716
ret_48h,log_ret_48h,0.9978020330869255
ret_72h,log_ret_72h,0.9968558132733557
sma_cross_12_48,macd_signal_pct,0.9893937472050913
close_to_sma_72,close_to_ema_72,0.9827224960962864
close_to_sma_24,close_to_ema_24,0.9822822019527693
close_to_sma_48,close_to_ema_48,0.982117587437499
close_to_sma_12,close_to_ema_12,0.981546070554668
close_to_ema_48,close_to_ema_72,0.9793202119020707
close_to_sma_6,close_to_ema_6,0.9787379704289914
close_to_sma_72,close_to_ema_48,0.9668394585027031
close_to_sma_48,ema_cross_12_24,0.9630098130848667
close_to_sma_48,macd_line_pct,0.9605372459839787
macd_line_pct,macd_signal_pct,0.9553060877124145
close_to_sma_48,close_to_sma_72,0.9514091038564252
close_to_sma_48,close_to_ema_72,0.9468268782743015
ema_cross_12_24,macd_signal_pct,0.9445027399340292
close_to_ema_6,close_to_ema_12,0.9423089553881541
close_to_ema_12,close_to_ema_24,0.9418993099482508
close_to_ema_24,close_to_ema_48,0.9415220131065044
vol_72h,downside_vol_72h,0.9414105083028552
log_ret_48h,close_to_sma_72,0.9408175149048769
close_to_ema_48,ema_cross_12_24,0.9405076664281456
close_to_ema_48,macd_line_pct,0.9398425298361629
ret_48h,close_to_sma_72,0.9389511243290374
sma_cross_12_48,macd_line_pct,0.9363071925774559
log_ret_3h,close_to_sma_6,0.9331053019801308
ret_3h,close_to_sma_6,0.9324074033001917
close_to_sma_72,macd_line_pct,0.9314652965188801
close_to_sma_12,close_to_ema_6,0.9314416633900086
sma_cross_12_48,ema_cross_12_24,0.929116867786927
close_to_sma_24,close_to_ema_12,0.9283226158073635
log_ret_24h,ema_cross_12_24,0.9262509734624372
close_to_sma_72,ema_cross_12_24,0.9252373558995989
close_to_ema_72,macd_line_pct,0.923799326313911
close_to_sma_48,close_to_ema_24,0.9232496793938727
ret_24h,ema_cross_12_24,0.9228468032204064
log_ret_6h,close_to_sma_12,0.9214344319128499
log_ret_12h,close_to_sma_24,0.9214262476443972
ret_6h,close_to_sma_12,0.9205119849333596
ret_12h,close_to_sma_24,0.9201403097015086
log_ret_24h,macd_line_pct,0.9194780925510794
vol_z_24,trades_z_24,0.9192618390633069
log_ret_24h,close_to_sma_48,0.9192032397644555
quote_vol_z_24,trades_z_24,0.9189847794523974
close_to_ema_72,ema_cross_12_24,0.9184243820758575
ret_24h,close_to_sma_48,0.917388459995424
close_to_sma_72,macd_signal_pct,0.9140191302902302
ret_24h,macd_line_pct,0.9136787314281665
vol_24h,atr_14_pct,0.9114760438661049
sma_cross_6_24,ema_cross_12_24,0.9093631874499147
log_volume,log_quote_volume,0.9087154719114501
vol_24h,downside_vol_24h,0.9025396263002327
close_to_sma_24,sma_cross_6_24,0.901301651743954
log_ret_48h,close_to_ema_72,0.9011771124845986
