Asset,Model,Model Family,Feature Set,Strategy Mode,Cost Regime,Validation Precision,Validation Recall,Validation Sharpe,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Threshold Feasible
BTC,LightGBM,ML,candle_extended,long_only,no_cost,0.717948717948718,0.010082823190493338,0.32455368657612255,0.260703747465242,0.6518518518518519,0.015655577299412915,0.0017873143800284856,True
BTC,LightGBM,ML,candle_extended,long_only,with_cost,0.717948717948718,0.010082823190493338,0.24148520205634944,0.2108313800398815,0.6518518518518519,0.015655577299412915,0.0014813884541025595,True
BTC,Logistic Regression,ML,candle_extended,long_short,no_cost,0.8395833333333333,0.014952195513520204,0.13424146715317592,0.13633954987069494,0.5225453013063632,0.01887231837313536,0.0010766369694125485,True
BTC,Logistic Regression,ML,candle_extended,long_short,with_cost,0.8395833333333333,0.014952195513520204,0.08037881125260926,0.09162991647462236,0.5225453013063632,0.01887231837313536,0.0007772150040946294,True
BTC,Logistic Regression,ML,candle_extended,short_only,no_cost,0.711864406779661,0.01557285873192436,0.15158144787209119,0.0588760546821271,0.5833333333333334,0.04332333083270818,0.0003262979425658246,True
BTC,Logistic Regression,ML,candle_extended,short_only,with_cost,0.711864406779661,0.01557285873192436,0.11614129195384672,0.006099217173672506,0.5833333333333334,0.04332333083270818,4.9656528424410694e-05,True
ETH,LightGBM,ML,ohlc_extended,long_only,no_cost,0.6666666666666666,0.015364916773367477,0.1280496625754598,0.08978734008557648,0.6143790849673203,0.0168609865470852,0.0011416915365995357,True
ETH,LightGBM,ML,ohlc_extended,long_only,with_cost,0.6666666666666666,0.015364916773367477,0.07326789823472804,0.06297398145320514,0.6143790849673203,0.0168609865470852,0.0008420183339851568,True
ETH,LightGBM,ML,ohlc_extended,long_short,no_cost,0.8036363636363637,0.015821104061389146,0.12600863205614893,0.07522928938826859,0.6320553780617678,0.018261058362769412,0.0007514698067227092,True
ETH,LightGBM,ML,ohlc_extended,long_short,with_cost,0.8036363636363637,0.015821104061389146,0.06792415201881284,0.0420377574850553,0.6320553780617678,0.018261058362769412,0.00046378434678205665,True
ETH,GRU,ML,candle_extended,short_only,no_cost,0.6511627906976745,0.010245151847786316,-0.06105760278559609,-0.049785747501425046,0.559322033898305,0.012322628827483197,-0.0002323760476969926,True
ETH,GRU,ML,candle_extended,short_only,with_cost,0.6511627906976745,0.010245151847786316,-0.10662794942243674,-0.10233052700498513,0.559322033898305,0.012322628827483197,-0.0004963590985444502,True
SOL,GRU,ML,ohlc_extended,long_only,no_cost,0.6462882096069869,0.03159018143009605,0.0985244318952497,0.12706695105007632,0.5687645687645687,0.05017478922475838,0.0015589216195635953,True
SOL,GRU,ML,ohlc_extended,long_only,with_cost,0.6462882096069869,0.03159018143009605,0.08112847958716742,0.10265810247596663,0.5687645687645687,0.05017478922475838,0.0013427211533631291,True
SOL,GRU,ML,ohlc_extended,long_short,no_cost,0.8231441048034934,0.01590385730195253,0.10297505418112374,0.13965779957477903,0.6029306714790585,0.04192815351240051,0.0013326509928294945,True
SOL,GRU,ML,ohlc_extended,long_short,with_cost,0.8231441048034934,0.01590385730195253,0.08529189621887708,0.10373487620943417,0.6029306714790585,0.04192815351240051,0.0010994899883981799,True
SOL,Logistic Regression,ML,ohlc_extended,short_only,no_cost,0.5802469135802469,0.010199652777777778,-0.08476409352748111,0.06289662324534938,0.5673469387755102,0.05908607863974495,0.0004792075177850895,True
SOL,Logistic Regression,ML,ohlc_extended,short_only,with_cost,0.5802469135802469,0.010199652777777778,-0.09892811025249014,0.0344056067812728,0.5673469387755102,0.05908607863974495,0.0002884932320708038,True
XRP,LightGBM,ML,candle_extended,long_only,no_cost,0.6641221374045801,0.015647482014388488,0.029016473418674946,0.2592306813664687,0.6057142857142858,0.01924473493100944,0.002820760434510602,True
XRP,LightGBM,ML,candle_extended,long_only,with_cost,0.6641221374045801,0.015647482014388488,0.007335756111331591,0.22492389596726084,0.6057142857142858,0.01924473493100944,0.0025247604345106016,True
XRP,Logistic Regression,ML,candle_extended,long_short,no_cost,0.7981651376146789,0.011787603076352182,0.07902363549670514,0.005873380975999463,0.5281773399014777,0.01175706348941142,0.00024912629810908664,True
XRP,Logistic Regression,ML,candle_extended,long_short,with_cost,0.7981651376146789,0.011787603076352182,0.05038054256801401,-0.010041489266801557,0.5281773399014777,0.01175706348941142,-2.565440364529879e-05,True
XRP,GRU,ML,candle_extended,short_only,no_cost,0.6842105263157895,0.012628715756751506,0.0821795819560601,-0.07606014927258725,0.5754716981132075,0.011577149364205732,-0.001594851428333412,True
XRP,GRU,ML,candle_extended,short_only,with_cost,0.6842105263157895,0.012628715756751506,0.055171037915424256,-0.08574923745230102,0.5754716981132075,0.011577149364205732,-0.0018590023717296375,True
