Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,-0.05408621461222628,0.569660239658078,0.04633186974021222,-0.0004211697372220562,-0.0014274944876735266,0.5417661598786438,0.09050597460791636,1.6408463952070016e-05
LightGBM,0.04995311504554251,0.579181487161192,0.022453450164293537,0.00032248761403929054,0.032697265091461196,0.5432362540734825,0.05498137802607077,0.00021190668076016809
Logistic Regression,-0.02015362300876184,0.5535331505314736,0.09583789704271631,-8.735745651877917e-05,0.02267871515421352,0.5466345002038755,0.26522346368715083,0.000141489906851867
RSI,-0.012901698743731925,0.5447659739755293,0.5123287671232877,-9.4841101421907e-05,-0.012633005497648366,0.5308869629356445,0.5366262814538677,-8.369538283984074e-05
SMA,-0.02235038925094057,0.5428571428571428,0.02785923753665689,-0.000200489743281332,-0.05821289737348894,0.47540983606557374,0.021702525724976614,-0.000751618871857312
XGBoost,0.024415087877443092,0.5435970571969713,0.03883716684921504,0.0001675103303257083,-0.009469011547801779,0.517126090704787,0.08198324022346369,-7.209107176796646e-05
