Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,-0.08551366180480229,0.569660239658078,0.04633186974021222,-0.0006640477979269513,-0.03522570037909292,0.5417661598786438,0.09050597460791636,-0.00018009493272920613
LightGBM,-0.003594357834305264,0.579181487161192,0.022453450164293537,9.947953232247088e-07,-0.012131610213110107,0.5432362540734825,0.05498137802607077,-6.198253286362682e-05
Logistic Regression,-0.06441469687391524,0.5535331505314736,0.09583789704271631,-0.0003151222953513649,-0.008866441574198854,0.5466345002038755,0.26522346368715083,-4.6064456183378695e-05
RSI,-0.01729030285081435,0.5447659739755293,0.5123287671232877,-0.00016043636263767704,-0.01729257730676518,0.5308869629356445,0.5366262814538677,-0.0001435884309681829
SMA,-0.02386344445172202,0.5428571428571428,0.02785923753665689,-0.00021923974328133192,-0.05966430526753298,0.47540983606557374,0.021702525724976614,-0.0007745696915294434
XGBoost,-0.024883767741893065,0.5435970571969713,0.03883716684921504,-0.0001434158449452299,-0.04557842694525218,0.517126090704787,0.08198324022346369,-0.00035238903111619777
