Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
GRU,0.02898007109980783,0.5779144324029173,0.11145161295867907,0.00015091119748404365,0.05550678239761318,0.5631846242039245,0.10220617685272199,0.0005597313980305062,all_assets,long_only,with_cost
LightGBM,0.019683255243510125,0.5865048703592378,0.07994489987956954,3.5713383422182135e-05,0.062361690751782675,0.5490899932639092,0.08242857542413927,0.0006613802562599206,all_assets,long_only,with_cost
Logistic Regression,0.010788455368359866,0.5722909627922361,0.07293264217724321,0.00013952838658759823,0.08248070024159627,0.5732896646076232,0.049586119363184994,0.0010016911780965814,all_assets,long_only,with_cost
RSI,-0.0030554482729230146,0.5431320670104908,0.49116450170782366,7.5815482959329625e-06,0.01596583988729247,0.5488628673241603,0.4540431628784366,0.00012861654497097798,all_assets,long_only,with_cost
SMA,0.0472804685000273,0.5329223866382335,0.04531882754842487,0.0004842219459426509,0.057348509454360236,0.5338904733885774,0.042733956849688656,0.0009072815080911691,all_assets,long_only,with_cost
XGBoost,-0.004657585253891246,0.5303453507197528,0.17451044343901906,5.287245297674696e-06,-0.0008397568545190103,0.5186017188005718,0.17351562772166837,1.4764883683020333e-05,all_assets,long_only,with_cost
GRU,0.05258524286590512,0.5779144324029173,0.11145161295867907,0.00033213600745329755,0.07971332007675873,0.5631846242039245,0.10220617685272199,0.0007441438477909885,all_assets,long_only,no_cost
LightGBM,0.05549963312206701,0.5865048703592378,0.07994489987956954,0.00031682216644383573,0.09630179765364823,0.5490899932639092,0.08242857542413927,0.0009276642042837098,all_assets,long_only,no_cost
Logistic Regression,0.03605221376734446,0.5722909627922361,0.07293264217724321,0.0003730208985858322,0.11182187009126109,0.5732896646076232,0.049586119363184994,0.0012552810936206904,all_assets,long_only,no_cost
RSI,0.00777941029244362,0.5431320670104908,0.49116450170782366,7.655893684273271e-05,0.03358041228439825,0.5488628673241603,0.4540431628784366,0.00020149630845328774,all_assets,long_only,no_cost
SMA,0.04883798571419907,0.5329223866382335,0.04531882754842487,0.0005016383611138485,0.05928888420055281,0.5338904733885774,0.042733956849688656,0.0009258727255589843,all_assets,long_only,no_cost
