Asset,Model,Strategy Mode,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,XGBoost,long_only,0.05227916637870032,0.00024231623244329998,0.8695695775052796
BTC,LightGBM,long_only,0.050631588769979675,0.00027138978085645,0.30861643850605786
BTC,Logistic Regression,long_only,0.0369243414755083,0.000273915777089025,0.20067518905424478
BTC,GRU,long_only,0.03350337762370875,0.00025839194700985,0.1140375093516166
BTC,RSI,long_only,0.0265515308394376,7.742571959145774e-05,1.1064007057872094
BTC,SMA,long_only,0.0035709942886545,2.5819672131147564e-05,0.0063747524871413
BTC,LightGBM,long_short,0.0541965811174145,0.000281949488132075,0.45791589828491014
BTC,Logistic Regression,long_short,0.04073871419941995,0.000241153806840525,0.4798163629082348
BTC,XGBoost,long_short,0.03897204533752852,0.000270836245413825,1.1400011547827689
BTC,GRU,long_short,0.0239818166441317,0.0001567267380881109,0.3547208764202825
BTC,RSI,long_short,0.0139912187531487,0.0001010184895017,0.8704452038068662
BTC,SMA,long_short,0.0024498430925647,2.7925531914893575e-05,0.0168767094872243
BTC,LightGBM,short_only,0.034643820638221724,0.000208800445784675,0.6253125632737516
BTC,Logistic Regression,short_only,0.029908721085559198,0.00016148766165770796,0.3727294927964423
BTC,XGBoost,short_only,0.026522570734713674,0.00021601148961629998,0.5712016333443806
BTC,GRU,short_only,0.02390351561907865,0.00012449416566854535,0.3648393050071703
BTC,RSI,short_only,0.0053426673265995,6.434947768281103e-05,0.254889087145712
BTC,SMA,short_only,0.0022861554011615,2.8937007874015605e-05,0.0116539186354108
ETH,XGBoost,long_only,0.0349451842046413,0.000221600691702825,0.9124018807808725
ETH,LightGBM,long_only,0.034031923100463525,0.00030088014985892497,0.1269081998361749
ETH,Logistic Regression,long_only,0.0281368753540518,0.0002419193688137,0.4078579938830995
ETH,GRU,long_only,0.0262953323965438,0.0001643620890840994,0.5106664550501893
ETH,RSI,long_only,0.0104347858718999,6.72772175344721e-05,0.5966540423004245
ETH,SMA,long_only,0.0012011154230772,7.71186440677967e-06,0.0203089868015768
ETH,LightGBM,long_short,0.04250432154318683,0.0003007213448513,0.2475881223879734
ETH,XGBoost,long_short,0.0323797481188828,0.000272711879767625,0.975724141004622
ETH,Logistic Regression,long_short,0.0231271878767626,0.0001899808157356,0.4603317870397181
ETH,GRU,long_short,0.0220567469595553,0.0001333129786738528,0.8200291266917129
ETH,RSI,long_short,0.0070352313040897,0.0001069879400894,0.5169576433276865
ETH,SMA,long_short,0.0014725464914205,2.279693486590057e-05,0.0096157154533582
ETH,LightGBM,short_only,0.044828875304571275,0.00027388921362375,0.2817261276890451
ETH,XGBoost,short_only,0.03610941539745038,0.0002802979593482,0.35115872971489337
ETH,GRU,short_only,0.03379820589141935,0.00019650339668122403,0.20402774344651442
ETH,Logistic Regression,short_only,0.03154515672841232,0.0001875543630351938,0.27738812758606074
ETH,RSI,short_only,0.0046595718091168,5.989304812834216e-05,0.2726855995467837
ETH,SMA,short_only,0.001451407894044,2.2950819672131373e-05,0.0090772721599451
SOL,LightGBM,long_only,0.03169883053308607,0.00026142564174952497,0.4507983429024063
SOL,Logistic Regression,long_only,0.03030336638715915,0.00024833121595325,0.3627079164353224
SOL,XGBoost,long_only,0.02502536221859995,0.000260357207614525,0.47559482402056136
SOL,GRU,long_only,0.01689748800268415,0.00015982850074313968,0.37025546540082654
SOL,RSI,long_only,0.0131814971936031,7.167530224525041e-05,0.9860854337254296
SOL,SMA,long_only,0.0016638034184668,2.625000000000023e-05,0.0046826234768082
SOL,Logistic Regression,long_short,0.03847708424856775,0.00019951542999385,0.9452580546875082
SOL,LightGBM,long_short,0.03149854968603485,0.00023188128532762502,0.7493708433189559
SOL,XGBoost,long_short,0.023583028893294524,0.000286479370937425,0.7998695403097908
SOL,GRU,long_short,0.021801328985729073,0.00015997506076592682,0.8260282078907373
SOL,RSI,long_short,0.0072127420108638,9.825512148642208e-05,0.7498864543613104
SOL,SMA,long_short,0.0013079249873761,2.6923076923076944e-05,0.00500177916319
SOL,XGBoost,short_only,0.021336693614470874,0.000269825831466225,0.4259130057238455
SOL,LightGBM,short_only,0.018361931483687175,0.000188890572468975,0.49487970636998624
SOL,Logistic Regression,short_only,0.013479863552524776,0.00011972058929712242,0.26078727320196854
SOL,GRU,short_only,0.003874881125972075,5.743202019085183e-05,0.32302038633089236
SOL,RSI,short_only,0.0028904195903877,6.616394197559287e-05,0.2137908137529389
SOL,SMA,short_only,0.0008537635635976,2.5485436893204344e-05,0.0073111768787775
XRP,XGBoost,long_only,0.027250370166528225,0.000241004201273725,0.6688515938507918
XRP,Logistic Regression,long_only,0.02200009618193975,0.00025019330024025,0.18755150620066546
XRP,RSI,long_only,0.0202904756834823,7.514081455805888e-05,1.470624385054254
XRP,GRU,long_only,0.0201299526936453,0.000155067262204642,0.39555809355016086
XRP,LightGBM,long_only,0.0193980852039328,0.000231440219630025,0.34636677368588376
XRP,SMA,long_only,0.0013255858545716,1.4583333333333462e-05,0.0225712817886347
XRP,XGBoost,long_short,0.019762377004591002,0.000261392526245625,0.6958689992130742
XRP,LightGBM,long_short,0.017724607252255126,0.000238683295511975,0.3517861943513024
XRP,GRU,long_short,0.0168714273507224,0.00012007060419305535,0.3762862940912376
XRP,Logistic Regression,long_short,0.0117214053532897,0.00017737624653812575,0.15120880962264655
XRP,RSI,long_short,0.0110371062862004,0.0001075711070186,1.1532304679062688
XRP,SMA,long_short,0.0024626759958405,1.176386095949432e-05,0.1955714384201501
XRP,GRU,short_only,0.013625096870666651,0.0001534092720376936,0.0504479494819825
XRP,XGBoost,short_only,0.013148149519296024,0.000255323048381575,0.21831136747770624
XRP,LightGBM,short_only,0.0122367749882382,0.000254943750626925,0.10055803024593463
XRP,Logistic Regression,short_only,0.007304865845045475,0.00018423006379290245,0.10455912503406209
XRP,RSI,short_only,0.0017418558109209,4.4465513154775984e-05,0.1373674020080142
XRP,SMA,short_only,0.0007091490228148,1.900958466453668e-05,0.0091039859780117
