Asset,Strategy,C,Long Threshold,Short Threshold,Cumulative Return,Annualized Return,Annualized Volatility,Annualized Sharpe,Maximum Drawdown,Turnover,Number of Trades,Avg Return per Trade,Precision,Recall,Accuracy,TP,FP,FN,TN
BTC,Logistic Regression,10.0,0.6600000000000001,,0.024527193200743147,0.019603015998230555,0.03568815107340616,0.5615830050983114,-0.033141346408586236,44.0,44.0,0.001487078080562128,0.5909090909090909,0.0023423423423423423,0.49277483080299983,13.0,9.0,5537.0,5375.0
ETH,Logistic Regression,1.0,0.6400000000000001,,-0.08993117842842224,-0.07271874930413813,0.10689222359195129,-0.6526247491065393,-0.17182075115451623,524.0,524.0,1.9835069514294514e-05,0.5573770491803278,0.030537093587210348,0.49405524053411376,170.0,135.0,5397.0,5232.0
XRP,Logistic Regression,0.01,0.7000000000000002,,0.08167802594950269,0.06492328444101969,0.04651475958849079,1.3750109730151912,-0.0003500000000000725,6.0,6.0,0.026960354076681625,1.0,0.0005451571869889151,0.4969818913480885,3.0,0.0,5500.0,5431.0
SOL,Logistic Regression,1.0,0.51,,-0.3996783938415943,-0.3355722809285431,0.5807154382087433,-0.413700161378417,-0.6942601321073045,2288.0,2288.0,8.392636638812758e-05,0.5315088224702916,0.2654676258992806,0.5074995427108103,1476.0,1301.0,4084.0,4073.0
