Window,Strategy Mode,Cost Regime,Avg Test Sharpe,Avg Cumulative Return,Avg Number of Trades,Positive Sharpe Share
2020-2024,long_only,no_cost,0.0766865724067787,0.4604172933819253,1119.0416666666667,0.9027777777777778
2020-2024,long_only,with_cost,0.0484084453048636,0.029203776000285064,1119.0416666666667,0.7361111111111112
2020-2024,long_short,no_cost,0.04330830806943129,0.3850849438389222,1907.7916666666667,0.7777777777777778
2020-2024,long_short,with_cost,0.017133902913778885,-0.20998176538257718,1907.7916666666667,0.4722222222222222
2020-2024,short_only,no_cost,-0.0035918521771576024,-0.1404533589897282,1381.6527777777778,0.4027777777777778
2020-2024,short_only,with_cost,-0.02412586806626809,-0.432443935698119,1381.6527777777778,0.1388888888888889
2021-2025,long_only,no_cost,0.04949240177403297,0.23968447544445542,1067.8333333333333,0.7916666666666666
2021-2025,long_only,with_cost,0.02122798673780041,-0.10654265412098345,1067.8333333333333,0.5
2021-2025,long_short,no_cost,0.02358622394452084,0.11757044504204418,2144.3055555555557,0.625
2021-2025,long_short,with_cost,0.0006139901168975636,-0.42172443611929816,2144.3055555555557,0.2638888888888889
2021-2025,short_only,no_cost,0.0005426305698478305,-0.02171336148706865,1563.8472222222222,0.4583333333333333
2021-2025,short_only,with_cost,-0.02419359875756226,-0.405697557290721,1563.8472222222222,0.19444444444444445
