Window,Model Family,Cost Regime,Avg Test Sharpe,Avg Cumulative Return,Avg Number of Trades
2020-2024,ML,no_cost,0.0435147241559472,0.24024694420557444,1520.4375
2020-2024,ML,with_cost,0.016150623121324936,-0.2090672795390978,1520.4375
2020-2024,Rule,no_cost,0.0010912916495795823,0.19317108104876246,1061.9583333333333
2020-2024,Rule,with_cost,-0.004955544513476296,-0.1671275389284512,1061.9583333333333
2021-2025,ML,no_cost,0.02752899459771462,0.13691184682244426,1656.421875
2021-2025,ML,with_cost,-0.0004097089847954173,-0.3060260184828029,1656.421875
2021-2025,Rule,no_cost,-0.0011984718478719042,-0.0886700975812611,1076.5833333333333
2021-2025,Rule,with_cost,-0.005580335140445841,-0.35368579473058454,1076.5833333333333
