datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob,position,position_change,transaction_cost,raw_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-02 08:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.41377085,-1.0,1.0,0.0,-0.0191252286712122,0.0191252286712122,0.0191252286712122,1.0191252286712122,1.0191252286712122
2024-10-02 09:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.5364363,0.0,1.0,0.0,-0.0001695489996609,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 10:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5284274,0.0,0.0,0.0,-0.0067831100559606,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 11:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5250529,0.0,0.0,0.0,0.0020488304592793,0.0,0.0,1.0191252286712122,1.0191252286712122
2024-10-02 12:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.49667022,0.0,0.0,0.0,-0.0032373487817345,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 13:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5391202,0.0,0.0,0.0,-0.0076923076923075,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 14:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.49939504,0.0,0.0,0.0,0.0068906115417743,0.0,0.0,1.0191252286712122,1.0191252286712122
2024-10-02 15:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5295524,0.0,0.0,0.0,-0.0011976047904191,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 16:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5091483,0.0,0.0,0.0,-0.0030832476875642,-0.0,-0.0,1.0191252286712122,1.0191252286712122
2024-10-02 17:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.4596206,-1.0,1.0,0.0,-0.0216494845360823,0.0216494845360823,0.0216494845360823,1.0411887645496611,1.0411887645496611
2024-10-02 18:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.50194806,0.0,1.0,0.0,0.0101861608710924,0.0,0.0,1.0411887645496611,1.0411887645496611
2024-10-02 19:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.45882493,-1.0,1.0,0.0,-0.0076495132127957,0.0076495132127957,0.0076495132127957,1.049153351761098,1.049153351761098
2024-10-02 20:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.46199533,-1.0,0.0,0.0,-0.052207428170988,0.052207428170988,0.052207428170988,1.103926950013517,1.103926950013517
2024-10-02 21:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.5343874,0.0,1.0,0.0,0.0073937153419594,0.0,0.0,1.103926950013517,1.103926950013517
2024-10-02 22:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.50761795,0.0,0.0,0.0,-0.0122935779816514,-0.0,-0.0,1.103926950013517,1.103926950013517
2024-10-02 23:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.48599714,-1.0,1.0,0.0,-0.0118892810700351,0.0118892810700351,0.0118892810700351,1.1170518478030143,1.1170518478030143
2024-10-03 00:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.4127348,-1.0,0.0,0.0,0.0037601052829479,-0.0037601052829479,-0.0037601052829479,1.1128516152487635,1.1128516152487635
2024-10-03 01:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.45209265,-1.0,0.0,0.0,0.0127364675032775,-0.0127364675032775,-0.0127364675032775,1.0986778168151778,1.0986778168151778
2024-10-03 02:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.41375965,-1.0,0.0,0.0,-0.0055483632328463,0.0055483632328463,0.0055483632328463,1.1047736804187391,1.1047736804187391
2024-10-03 03:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.45599252,-1.0,0.0,0.0,0.0,-0.0,-0.0,1.1047736804187391,1.1047736804187391
2024-10-03 04:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.4521373,-1.0,0.0,0.0,-0.0061372512553468,0.0061372512553468,0.0061372512553468,1.111553954075763,1.111553954075763
2024-10-03 05:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.50505495,0.0,1.0,0.0,-0.0041167664670658,-0.0,-0.0,1.111553954075763,1.111553954075763
2024-10-03 06:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.4925209,0.0,0.0,0.0,-0.0251785043216835,-0.0,-0.0,1.111553954075763,1.111553954075763
2024-10-03 07:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.50005305,0.0,0.0,0.0,-0.0098303777949113,-0.0,-0.0,1.111553954075763,1.111553954075763
2024-10-03 08:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,HOLD,0,0.5039299,0.0,0.0,0.0,0.0114853027058592,0.0,0.0,1.111553954075763,1.111553954075763
2024-10-03 09:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.39363024,-1.0,1.0,0.0,0.008660508083141,-0.008660508083141,-0.008660508083141,1.1019273320716425,1.1019273320716425
2024-10-03 10:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.46731985,-1.0,0.0,0.0,-0.0131654264453349,0.0131654264453349,0.0131654264453349,1.116434675310136,1.116434675310136
2024-10-03 11:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,FLAT,CLOSE_SHORT,1,0.52111244,0.0,1.0,0.0,0.0059938128383603,0.0,0.0,1.116434675310136,1.116434675310136
2024-10-03 12:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,OPEN_SHORT,1,0.44553462,-1.0,1.0,0.0,0.0019219680953295,-0.0019219680953295,-0.0019219680953295,1.1142889234836704,1.1142889234836704
2024-10-03 13:00:00+00:00,XRP,XGBoost,ohlc_raw,short_only,no_cost,SHORT,HOLD,0,0.41865543,-1.0,0.0,0.0,-0.0074812967581047,0.0074812967581047,0.0074812967581047,1.1226252495945206,1.1226252495945206
