asset,total_rows,train_rows,val_rows,test_rows,train_start,train_end,val_start,val_end,test_start,test_end
BTC,43804,21902,10950,10952,2021-01-01 00:00:00+00:00,2023-07-03 03:00:00+00:00,2023-07-03 06:00:00+00:00,2024-10-01 11:00:00+00:00,2024-10-01 14:00:00+00:00,2025-12-31 21:00:00+00:00
ETH,43804,21902,10950,10952,2021-01-01 00:00:00+00:00,2023-07-03 03:00:00+00:00,2023-07-03 06:00:00+00:00,2024-10-01 11:00:00+00:00,2024-10-01 14:00:00+00:00,2025-12-31 21:00:00+00:00
XRP,43804,21902,10950,10952,2021-01-01 00:00:00+00:00,2023-07-03 03:00:00+00:00,2023-07-03 06:00:00+00:00,2024-10-01 11:00:00+00:00,2024-10-01 14:00:00+00:00,2025-12-31 21:00:00+00:00
SOL,43804,21902,10950,10952,2021-01-01 00:00:00+00:00,2023-07-03 03:00:00+00:00,2023-07-03 06:00:00+00:00,2024-10-01 11:00:00+00:00,2024-10-01 14:00:00+00:00,2025-12-31 21:00:00+00:00
