close,fwd_ret_open_1h,RSI,position,raw_return,position_change,transaction_cost,gross_return,net_return,gross_equity_curve,net_equity_curve
61443.64,9.911522168937204e-05,54.0788224678016,0.0,9.911522168937204e-05,0.0,0.0,0.0,0.0,1.0,1.0
61449.73,-0.0017949631349072,57.040399119371784,0.0,-0.0017949631349072,0.0,0.0,-0.0,-0.0,1.0,1.0
61339.43,-0.0009034971469411,59.288879582583505,0.0,-0.0009034971469411,0.0,0.0,-0.0,-0.0,1.0,1.0
61284.01,0.0027059260645638,59.70321059267487,0.0,0.0027059260645638,0.0,0.0,0.0,0.0,1.0,1.0
61449.84,0.0078503052245539,63.87880604666386,0.0,0.0078503052245539,0.0,0.0,0.0,0.0,1.0,1.0
61932.24,-0.005687183282891,63.979819947838294,0.0,-0.005687183282891,0.0,0.0,-0.0,-0.0,1.0,1.0
61580.02,-0.0055215961280947,65.7060037907435,0.0,-0.0055215961280947,0.0,0.0,-0.0,-0.0,1.0,1.0
61239.99,0.0103371979098629,56.9545135306401,0.0,0.0103371979098629,0.0,0.0,0.0,0.0,1.0,1.0
61873.04,0.0059951788379593,61.70885625151332,0.0,0.0059951788379593,0.0,0.0,0.0,0.0,1.0,1.0
62244.0,-0.0041878742027945,62.149983907305824,0.0,-0.0041878742027945,0.0,0.0,-0.0,-0.0,1.0,1.0
61983.32,0.0058349568884015,62.166616028185615,0.0,0.0058349568884015,0.0,0.0,0.0,0.0,1.0,1.0
62345.0,0.0003690753659597,64.51256131556426,0.0,0.0003690753659597,0.0,0.0,0.0,0.0,1.0,1.0
62368.0,0.0006365443817342,64.07083907384845,0.0,0.0006365443817342,0.0,0.0,0.0,0.0,1.0,1.0
62407.69,-0.0021349929575997,66.12915172306228,0.0,-0.0021349929575997,0.0,0.0,-0.0,-0.0,1.0,1.0
62274.45,-0.0009845127520976,67.65165684933382,0.0,-0.0009845127520976,0.0,0.0,-0.0,-0.0,1.0,1.0
62213.14,-0.0020437801332998,61.40624355265357,0.0,-0.0020437801332998,0.0,0.0,-0.0,-0.0,1.0,1.0
62086.0,0.0013529620204233,62.186305872957334,0.0,0.0013529620204233,0.0,0.0,0.0,0.0,1.0,1.0
62170.0,-0.0016086536914911,64.13860829876066,0.0,-0.0016086536914911,0.0,0.0,-0.0,-0.0,1.0,1.0
62069.99,-0.0041562758428025,62.25977810667825,0.0,-0.0041562758428025,0.0,0.0,-0.0,-0.0,1.0,1.0
61812.0,0.0008085807272728,56.68853459108019,0.0,0.0008085807272728,0.0,0.0,0.0,0.0,1.0,1.0
61861.99,0.0014228446255932,58.550987858057916,0.0,0.0014228446255932,0.0,0.0,0.0,0.0,1.0,1.0
61950.01,0.0032198542017991,56.170653538221295,0.0,0.0032198542017991,0.0,0.0,0.0,0.0,1.0,1.0
62149.47,0.0011990446259566,58.1432913914372,0.0,0.0011990446259566,0.0,0.0,0.0,0.0,1.0,1.0
62224.0,-0.0023752892774492,60.38069308673529,0.0,-0.0023752892774492,0.0,0.0,-0.0,-0.0,1.0,1.0
62076.19,0.0012133474665008,59.09915828937909,0.0,0.0012133474665008,0.0,0.0,0.0,0.0,1.0,1.0
62151.52,0.001616855066457,58.230773200955014,0.0,0.001616855066457,0.0,0.0,0.0,0.0,1.0,1.0
62252.0,-0.0006129922551898,54.119960212543084,0.0,-0.0006129922551898,0.0,0.0,-0.0,-0.0,1.0,1.0
62213.84,-0.0005442518024523,58.88559284015935,0.0,-0.0005442518024523,0.0,0.0,-0.0,-0.0,1.0,1.0
62180.0,0.0019625284597182,64.41569515116343,0.0,0.0019625284597182,0.0,0.0,0.0,0.0,1.0,1.0
62302.03,-0.0023862789681617,57.801662211067594,0.0,-0.0023862789681617,0.0,0.0,-0.0,-0.0,1.0,1.0
62153.35,0.0006862059728076,48.20642087476758,0.0,0.0006862059728076,0.0,0.0,0.0,0.0,1.0,1.0
62196.01,-0.0004558170943468,54.60557372079381,0.0,-0.0004558170943468,0.0,0.0,-0.0,-0.0,1.0,1.0
62167.66,-0.0033658985018735,45.512015872694114,0.0,-0.0033658985018735,0.0,0.0,-0.0,-0.0,1.0,1.0
61958.39,0.0009298174258858,40.52701446352627,0.0,0.0009298174258858,0.0,0.0,0.0,0.0,1.0,1.0
62016.01,-0.0024511412456235,41.01618408014935,0.0,-0.0024511412456235,0.0,0.0,-0.0,-0.0,1.0,1.0
