close,fwd_ret_open_1h,SMA_s,SMA_l,position,raw_return,position_change,transaction_cost,gross_return,net_return,gross_equity_curve,net_equity_curve
2480.79,-0.0113311136013674,,,1.0,-0.0113311136013674,1.0,0.00035,-0.0113311136013674,-0.0116811136013674,0.9886688863986326,0.9883188863986326
2452.67,-0.0006808906212413,,,1.0,-0.0006808906212413,0.0,0.0,-0.0006808906212413,-0.0006808906212413,0.9879957110263706,0.9876459493380881
2450.99,0.0017217462260301,,,1.0,0.0017217462260301,0.0,0.0,0.0017217462260301,0.0017217462260301,0.9896967889131643,0.9893464250240149
2455.22,-0.0081011070291052,,,1.0,-0.0081011070291052,0.0,0.0,-0.0081011070291052,-0.0081011070291052,0.981679149299817,0.9813316237460328
2435.33,0.0061593295364488,,,1.0,0.0061593295364488,0.0,0.0,0.0061593295364488,0.0061593295364488,0.9877256346794153,0.987375968601223
2450.32,-0.0065011651491839,,,1.0,-0.0065011651491839,0.0,0.0,-0.0065011651491839,-0.0065011651491839,0.9813042672062819,0.9809568743650111
2434.39,0.0106802497535327,,,1.0,0.0106802497535327,0.0,0.0,0.0106802497535327,0.0106802497535327,0.9917848418642525,0.9914337387806743
2460.4,-0.0030686067306129,,,1.0,-0.0030686067306129,0.0,0.0,-0.0030686067306129,-0.0030686067306129,0.988741444223188,0.9883914185368952
2452.84,-0.0025032105509916,,,1.0,-0.0025032105509916,0.0,0.0,-0.0025032105509916,-0.0025032105509916,0.9862664162078059,0.9859172667095041
2446.71,-0.0232516317830883,,,1.0,-0.0232516317830883,0.0,0.0,-0.0232516317830883,-0.0232516317830883,0.9633341126581159,0.9629930814553859
2389.82,-0.0075528700906345,,,1.0,-0.0075528700906345,0.0,0.0,-0.0075528700906345,-0.0075528700906345,0.9560581752513324,0.9557197198129734
2371.77,0.0060461174565831,,,1.0,0.0060461174565831,0.0,0.0,0.0060461174565831,0.0060461174565831,0.9618386152742285,0.9614981134945354
2386.1,-0.0030006998839116,,,1.0,-0.0030006998839116,0.0,0.0,-0.0030006998839116,-0.0030006998839116,0.9589524262530335,0.9586129462169911
2378.94,0.0013325206498666,,,1.0,0.0013325206498666,0.0,0.0,0.0013325206498666,0.0013325206498666,0.9602302501632554,0.9598903177630548
2382.12,-0.0075688882172181,,,1.0,-0.0075688882172181,0.0,0.0,-0.0075688882172181,-0.0075688882172181,0.9529623747369783,0.9526250152471162
2364.1,0.0034135756252933,,,1.0,0.0034135756252933,0.0,0.0,0.0034135756252933,0.0034135756252933,0.9562153838712021,0.9558768727792084
2372.16,0.0052188722514501,,,1.0,0.0052188722514501,0.0,0.0,0.0052188722514501,0.0052188722514501,0.9612057498044972,0.9608654720663588
2384.53,0.0030446123780687,,,1.0,0.0030446123780687,0.0,0.0,0.0030446123780687,0.0030446123780687,0.9641322487282229,0.9637909349762709
2391.8,0.0031440755916045,,,1.0,0.0031440755916045,0.0,0.0,0.0031440755916045,0.0031440755916045,0.9671635533985281,0.9668211665303396
2399.32,-0.0007377090175549,,,1.0,-0.0007377090175549,0.0,0.0,-0.0007377090175549,-0.0007377090175549,0.9664500681237356,0.9661079338374272
2397.54,-0.0058100978081793,,,1.0,-0.0058100978081793,0.0,0.0,-0.0058100978081793,-0.0058100978081793,0.9608348987012151,0.9604947522485737
