Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.55,,True,0.0308321117362087,0.585635359116022,0.0570608289969495,0.0002112299804301,698.0,0.0496934199688844,0.1022181228577345,0.563953488372093,0.0349612542800504,0.0006854152668512,0.256063213076213,-0.0656802137326788,354.0,354.0,1.6911747985780168,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/no_cost/long_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.55,,True,-0.0020046190682291,0.585635359116022,0.0570608289969495,-1.372397905423273e-05,698.0,0.0496934199688844,0.0753030028750166,0.563953488372093,0.0349612542800504,0.0005053280575488,0.1097045497780409,-0.0740445739447177,354.0,354.0,0.8031173127086824,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/with_cost/long_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.55,0.5700000000000001,True,0.0308407416805304,0.7928176795580111,0.0286238375179067,0.0002110944796085,700.0,0.0497849363960831,0.1022181228577345,0.563953488372093,0.0174806271400252,0.0006854152668512,0.256063213076213,-0.0656802137326788,354.0,354.0,1.6911747985780168,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/no_cost/long_short/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.55,0.5700000000000001,True,-0.0020598828196536,0.7928176795580111,0.0286238375179067,-1.4089343920887774e-05,700.0,0.0497849363960831,0.0753030028750166,0.563953488372093,0.0174806271400252,0.0005053280575488,0.1097045497780409,-0.0740445739447177,354.0,354.0,0.8031173127086824,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/with_cost/long_short/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,short_only,short,no_cost,,0.54,True,0.0302518219394329,0.6278481012658228,0.046337817638266,0.0001458632623502,558.0,0.0361489887434794,-0.2470573995408223,0.6,0.0011152416356877,-0.0016276319165312,-0.0163511759294696,-0.0197252289977257,16.0,16.0,-0.713480848961962,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/no_cost/short_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,short_only,short,with_cost,,0.54,True,-0.0210237828023316,0.6278481012658228,0.046337817638266,-0.0001013519275231,558.0,0.0361489887434794,-0.2884831189360893,0.6,0.0011152416356877,-0.0019076319165312,-0.0218511041004079,-0.0245247491617016,16.0,16.0,-0.943504115711671,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/with_cost/short_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_only,long,no_cost,0.52,,True,0.0303222380081931,0.5255474452554745,0.0516777319217656,0.000117190207093,432.0,0.0501510021048778,0.0092068541563327,0.5149193548387097,0.2301315552351775,6.671625104438999e-05,0.1055330571214749,-0.2613994877001065,1172.0,1172.0,0.4105371057102616,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/no_cost/long_only/gru/ohlc_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_only,long,with_cost,0.52,,True,-0.0053615286757835,0.5255474452554745,0.0516777319217656,-2.0765997286539455e-05,432.0,0.0501510021048778,-0.0022060529806648,0.5149193548387097,0.2301315552351775,-1.5985361858835797e-05,-0.266486013943243,-0.4692564762298786,1172.0,1172.0,-0.6071514670088074,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/with_cost/long_only/gru/ohlc_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_short,long_short,no_cost,0.52,0.51,True,0.0303222380081931,0.5255474452554745,0.0258388659608828,0.000117190207093,432.0,0.0501510021048778,0.0271328078965065,0.5172340723185043,0.3149397794974278,0.0001400778974403,1.346451663249996,-0.2121965466497816,1414.0,1102.0,1.9924288067880092,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/no_cost/long_short/gru/ohlc_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_raw,ohlc,raw,long_short,long_short,with_cost,0.52,0.51,True,-0.0053615286757835,0.5255474452554745,0.0258388659608828,-2.0765997286539455e-05,432.0,0.0501510021048778,0.0168710112127079,0.5172340723185043,0.3149397794974278,8.707596550390591e-05,0.430539913723686,-0.2243230708606411,1414.0,1102.0,0.9464884823170576,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_raw/btc""}",data/trading_logs/with_cost/long_short/gru/ohlc_raw/btc/trading_log.csv,feasible
