Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,-0.014893525291243506,0.5906063373849505,0.06658434650455927,-0.0003163855454809729,-0.26925665916463876,0.3526509053701063,0.18325287783141478,-0.013072592021131925
LightGBM,-0.0011962246526453068,0.5572301982407453,0.017532221379833207,-0.00033736515089063214,-0.025072182810325853,0.49372562882882,0.19938877569920355,-0.0002927399831041717
Logistic Regression,-0.048088532595647084,0.5769791755254489,0.035585670962850646,-0.0010276243034769614,0.0025121820510871948,0.5193766327215819,0.5518151509538803,2.492600315521085e-05
RSI,-0.0021481257260119956,0.5265858208955224,0.4284629981024668,-1.9502851766339786e-05,-0.020464078755185324,0.5174328225627359,0.43220181784455575,-0.0002151740376099841
SMA,0.009808354156411963,0.49344978165938863,0.021511517228250523,0.0001695368491531547,-0.09260337192925422,0.46867749419953597,0.03760938372742506,-0.0018588126964700679
XGBoost,-0.0305058527135497,0.5304217577839421,0.04861637604245641,-0.0004706536617238231,-0.0008302218615972674,0.5038020998599749,0.23194110020374142,-2.359873277100572e-05
