Bundle,Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime,Feature Type,Model
table10,candle,0.021005718793583,0.5600001989340194,0.1225912912613915,0.0002832247660754,0.0158848038194807,0.5324893359667295,0.0910178850789771,0.0002844842607494,all_assets,long_only,with_cost,,
table10,ohlc,0.0192495447371358,0.5680186157677223,0.0662269088612384,0.0002463798303408,0.0246770859343136,0.5414645556139323,0.1113041539239675,0.0003186412121834,all_assets,long_only,with_cost,,
table10,candle,0.0492447639142224,0.5600001989340194,0.1225912912613915,0.0005413417566738,0.0428264117144947,0.5324893359667295,0.0910178850789771,0.0005505182930033,all_assets,long_only,no_cost,,
table10,ohlc,0.0481180176627497,0.5680186157677223,0.0662269088612384,0.0004919751600025,0.0545056617142793,0.5414645556139323,0.1113041539239675,0.0005624191814402,all_assets,long_only,no_cost,,
table10,candle,-0.0052468783163457,0.5401850935748921,0.1039793797358989,-8.757948846340848e-05,-0.0221261836925454,0.5135407543580658,0.2775363126207069,-0.0001766073242073,all_assets,short_only,with_cost,,
table10,ohlc,0.0064754716892049,0.5620044157294241,0.0735344431544897,-0.0001034133580721,-0.0514012130871916,0.4976814947651435,0.198721631661577,-0.0014911352463214,all_assets,short_only,with_cost,,
table10,candle,0.0263820923643667,0.5401850935748921,0.1039793797358989,0.0001590782705482,0.006158551941724,0.5135407543580658,0.2775363126207069,2.747999814651857e-05,all_assets,short_only,no_cost,,
table10,ohlc,0.0391868529406923,0.5620044157294241,0.0735344431544897,0.0001527776559762,-0.0222379679230606,0.4976814947651435,0.198721631661577,-0.0012763759849852,all_assets,short_only,no_cost,,
table10,candle,0.0035123072487892,0.6513211888519926,0.0818107654809432,3.693906973047756e-05,-0.0023594149361507,0.5364477089246448,0.1492840236274553,4.727426162916192e-06,all_assets,long_short,with_cost,,
table10,ohlc,0.0107189143371416,0.6297957677746694,0.06338684285848,7.526103152788597e-05,-0.0103941899170966,0.5208520416217793,0.1413501339387672,-0.0001004777761988,all_assets,long_short,with_cost,,
table10,candle,0.0319010979132528,0.6513211888519926,0.0818107654809432,0.0002777408527146,0.0248739775082586,0.5364477089246448,0.1492840236274553,0.000227379075301,all_assets,long_short,no_cost,,
table10,ohlc,0.0398608068676184,0.6297957677746694,0.06338684285848,0.000310599573039,0.0169584739251642,0.5208520416217793,0.1413501339387672,0.0001065074538139,all_assets,long_short,no_cost,,
table10,candle,0.0370328475352917,0.5662254301214249,0.0969354851304154,0.0003101039574535,0.0341376189931112,0.5443290545010645,0.0875229938083549,0.0003498266597314,btc,long_only,with_cost,,
