Asset,Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
BTC,Logistic Regression,candle,raw,long_short,0.038509653079526536,0.7620772946859904,0.019523729778700837,0.00039189707066768345,0.10385205726243298,0.6294358507734303,0.03122449210360335,0.0008967917572932158
BTC,LightGBM,ohlc,extended,long_short,0.1358304574615211,0.6309143686502177,0.012428780749942844,0.0005799138874397254,0.152621878838161,0.5868217054263566,0.012257399485191424,0.0006516037672702723
BTC,GRU,candle,raw,long_short,0.007328864548559955,0.7520976353928299,0.0618423341291305,2.9409941237683533e-05,0.00261840928602398,0.5817263544536272,0.40277112122415976,1.0860573231368102e-05
BTC,Logistic Regression,ohlc,extended,long_short,0.0469219545547152,0.821875,0.019381171088590176,0.00022929334397592274,0.048680659634724274,0.5712550028587764,0.030853974559507575,0.00021957596436264016
BTC,GRU,ohlc,extended,long_short,0.030840741680530484,0.7928176795580111,0.02862383751790678,0.0002110944796085239,0.10221812285773457,0.563953488372093,0.01748062714002523,0.0006854152668512124
BTC,Logistic Regression,ohlc,raw,long_short,0.030453584101740157,0.7938432835820896,0.0565043888044888,0.00023408682181434826,0.04491024643856324,0.538215236194278,0.1075242713507983,0.00023002867696122827
BTC,Logistic Regression,candle,extended,long_short,0.09513417803228574,0.8157349896480331,0.02740338593915929,0.0007893663891442637,0.11105621533973835,0.5337338262476894,0.02807644389349362,0.0008537211704362338
BTC,GRU,candle,extended,long_short,0.0950032532583083,0.6145124716553289,0.02431365512291405,0.000705937242359708,0.030683440653675207,0.5325494986511936,0.01990547544987844,0.00021991739530290632
BTC,RSI,rule,rule,long_short,-0.002351218074311333,0.5414923776446734,0.4686260587717345,-1.2093067967329164e-05,0.008670982358890236,0.5282839429665103,0.4626507408741879,4.27502343018375e-05
BTC,XGBoost,candle,extended,long_short,0.037468693309632435,0.5357976687848893,0.11480408229328923,0.00019764774512515292,0.02057527784492381,0.5264378293854979,0.1751031123173501,0.00010244200954676939
BTC,LightGBM,ohlc,raw,long_short,0.06647008290359803,0.5489015158886144,0.05061194068917478,0.0002879112984154854,0.021493359609234694,0.5263365123807857,0.106893577641421,0.00010190210370095764
BTC,SMA,rule,rule,long_short,0.020434483044251068,0.5390107976314873,0.03805526485131121,0.0001268569022465567,-0.002716220222903594,0.5223367697594502,0.027446731672083786,-1.7310779073467822e-05
BTC,LightGBM,candle,extended,long_short,0.1039103405570373,0.5998555807716113,0.018477542632727148,0.000632421660748181,0.05346067707462792,0.5194247969225776,0.04365934507588422,0.0002374882978468817
BTC,GRU,ohlc,raw,long_short,0.03032223800819313,0.5255474452554745,0.025838865960882827,0.00011719020709302262,0.027132807896506506,0.5172340723185043,0.3149397794974278,0.00014007789744030063
BTC,XGBoost,ohlc,extended,long_short,0.044630968825820024,0.535904710129361,0.17744450427235375,0.00022329734188467212,0.007976362174281566,0.5164962518975462,0.23356990017941148,3.580444233337223e-05
BTC,XGBoost,candle,raw,long_short,0.005299639973474722,0.5165968248085153,0.27966596262037696,2.7103369072838366e-05,0.022482891868522578,0.50779820798308,0.2931574802632195,0.00012092705063532439
BTC,LightGBM,candle,raw,long_short,0.008281042474671084,0.567816565878688,0.0913070715520428,4.3768654725274943e-05,0.010022748055896199,0.5003569728700619,0.19587717843752003,4.842066593365863e-05
BTC,XGBoost,ohlc,raw,long_short,0.04020210160853415,0.5239407384343946,0.10560734408953674,0.00021295837841342702,0.00722739964065409,0.49790776172836765,0.17580915704690314,4.2879710013360545e-05
ETH,GRU,ohlc,raw,long_short,0.07101474210437314,0.5205479452054794,0.010285095633345363,0.0009406232603545458,0.011971279287899888,0.7578325123152709,0.23522357951549544,0.00011138892262373239
ETH,Logistic Regression,candle,extended,long_short,0.0483226929068302,0.7981132075471697,0.042780135923337695,0.00036919715066970694,0.11780086773552528,0.6247220163083766,0.009863269837559892,0.0012136459341006776
ETH,GRU,ohlc,extended,long_short,0.027430429903920132,0.6541850220264318,0.054406167498267786,0.00016619319339420291,-0.02562227562941527,0.6127285851780558,0.09272046068054898,-0.00022988059518821148
ETH,XGBoost,candle,extended,long_short,0.01445629071820685,0.5370070765496329,0.09202601564017121,9.34624811798732e-05,0.03576072753837471,0.5442316353999728,0.14091372143107564,0.0002935754041535887
ETH,LightGBM,candle,extended,long_short,0.009747508418197368,0.601338199513382,0.010551505144469368,8.206188351272081e-05,-0.0030683422618358806,0.543418201516793,0.020314763184694235,-3.3308221647275526e-05
ETH,GRU,candle,raw,long_short,0.029820778059386537,0.759529602595296,0.05963618217658381,0.00018931143091243483,0.02122679162257178,0.5428571428571428,0.007090875163276731,0.00016062927981679728
ETH,XGBoost,ohlc,extended,long_short,0.00253566490923265,0.54084950483714,0.13521394364381323,1.679515105921925e-05,0.017548235985012477,0.5291017351858531,0.1744306582747625,0.00013433224741462218
ETH,RSI,rule,rule,long_short,-0.006005714496374306,0.54536608554701,0.47424288172583123,-3.612518929442337e-05,-0.00921422188181583,0.5281831957763784,0.46608329012972916,-7.065114824901015e-05
ETH,XGBoost,ohlc,raw,long_short,0.0028312373642811082,0.5201267482517482,0.06963461441756733,1.708147556172415e-05,0.0246098352005842,0.5069481427240048,0.1456198267082923,0.00017618642659134325
ETH,SMA,rule,rule,long_short,0.0027983231310600466,0.5347190250507786,0.24654809113531295,1.802169702467306e-05,-0.004933199723140303,0.5064578308285401,0.24190918666807545,-4.155328620770476e-05
ETH,LightGBM,ohlc,raw,long_short,0.09843874562448231,0.5620070819249959,0.016668118867655027,0.0007983650566046273,0.013892514273264656,0.5045075375004676,0.06935536486418806,0.00010257784038546954
ETH,XGBoost,candle,raw,long_short,0.012837024465123205,0.5088472565451291,0.12137161509001551,7.704780563046774e-05,-0.008742196463229433,0.5036718016787356,0.18599946576737508,-6.593784159182392e-05
ETH,LightGBM,ohlc,extended,long_short,0.02056808478720776,0.598575225943647,0.09586546007599682,0.00013987862679029815,0.012836336907070355,0.5014028829505393,0.0874835139150904,0.0001225381018762799
ETH,Logistic Regression,candle,raw,long_short,0.062348076132653175,0.7667597765363128,0.017817921011678773,0.0005637726713828534,-0.007145183786563648,0.4890593918726911,0.3201860465116279,-5.88366512104667e-05
ETH,LightGBM,candle,raw,long_short,0.004159471962786357,0.5710444367048411,0.23733497401953363,2.5005244828247104e-05,0.012925180662570085,0.48866794683915304,0.17018572931100684,0.00010881410607696075
ETH,Logistic Regression,ohlc,extended,long_short,0.17561853741979166,0.6526104417670682,0.01019873064036647,0.0008138476599910584,-0.02675181267864267,0.39491150442477874,0.011438571595519123,-0.00023108807033246585
ETH,GRU,candle,extended,long_short,0.0204805271111465,0.7922149122807017,0.04818037365843294,0.00017548569685464635,-0.001971888697698373,0.2745726495726496,0.04618149146451033,-1.7879609564557988e-05
ETH,Logistic Regression,ohlc,raw,long_short,0.020669137339300134,0.7819905213270142,0.044450607289723526,0.00015202785311230029,-0.0026976231457478,0.25901833234772326,0.16297674418604652,-2.0806453860628788e-05
SOL,GRU,candle,raw,long_short,-0.013992764296925203,0.7508875739644971,0.039933525907614016,-0.00015636058389505457,0.020031203970170164,0.7685185185185186,0.005532903360359279,0.0001661182048498366
SOL,Logistic Regression,candle,raw,long_short,0.06034018529212224,0.7601156069364161,0.01696726234189345,0.0006620644660825724,0.029495696166634135,0.7488112466404796,0.2253799846180607,0.0002884662565988958
SOL,Logistic Regression,candle,extended,long_short,0.15070079817061052,0.777533039647577,0.011904445915866823,0.0011692027436091686,0.06500413762668275,0.6507048092868988,0.06251209911812816,0.000642044836258579
SOL,GRU,candle,extended,long_short,-0.012559768433962289,0.6093162986979569,0.40402589505870784,-0.00012976603293459097,0.005586736039593568,0.5881141486130317,0.4608250410359982,4.80083479098556e-05
SOL,LightGBM,candle,extended,long_short,0.13193415266332462,0.7396174863387979,0.01051180711563535,0.0020369567683880376,0.12293105620764583,0.5669911157564672,0.02066172876908297,0.0014841674507008202
SOL,LightGBM,ohlc,extended,long_short,0.18982446936715566,0.6008028854126362,0.03010370335303928,0.0024509942314518093,0.015184809468281523,0.534357398873528,0.07557766688778597,0.0001625982388525284
SOL,Logistic Regression,ohlc,extended,long_short,0.09803692478569791,0.6049465240641712,0.021998866720487068,0.0014761987385498853,0.004674364178222161,0.5268366840407048,0.04548844652771621,6.739681362084968e-05
SOL,RSI,rule,rule,long_short,-0.004842854715089012,0.5216175855672001,0.4908211776786654,-5.0253218796411634e-05,0.006621214611219705,0.5186860342140067,0.49016362775485567,6.087024006367091e-05
SOL,XGBoost,ohlc,extended,long_short,0.05025200759142469,0.5408163265306123,0.04911363600137449,0.0005781954063843358,0.027748600208556934,0.5064813880762635,0.09262011977572018,0.00027172192930439634
SOL,GRU,ohlc,raw,long_short,0.021933805370078482,0.5617386219666699,0.06525832282162554,0.00018623459858512514,0.008580761144805236,0.5059371547327703,0.15558917589774013,8.287669769571512e-05
SOL,XGBoost,candle,extended,long_short,0.06987074685463877,0.5292646637913168,0.06235816476034312,0.0007996673248716562,0.008485635418424684,0.49978419254942796,0.099571252320441,7.917061625087623e-05
SOL,XGBoost,candle,raw,long_short,0.01707115286417957,0.4961936118118415,0.2404147032721103,0.00017528459313275225,0.007845897438079015,0.49637509182347295,0.2980455224148649,7.195833449135666e-05
SOL,XGBoost,ohlc,raw,long_short,0.03875447223903988,0.5145675500005327,0.24069904929984792,0.0004232393689871305,0.001569374263547604,0.4960528465245446,0.3220063502629284,1.4133345177288936e-05
SOL,LightGBM,candle,raw,long_short,0.05307753786330529,0.5342295345104334,0.0312864261696035,0.000533968401699786,-0.0030324491635717304,0.46559736537171437,0.08117460626661338,-3.0079286757515216e-05
SOL,GRU,ohlc,extended,long_short,-0.012732343847549264,0.7499398893964895,0.3908074217918463,-0.00012958609202514407,-0.004970322965548554,0.4598335877405645,0.440209821192189,-4.309136676694738e-05
SOL,SMA,rule,rule,long_short,-0.016906990976231138,0.5391544702513522,0.14775056968243763,-0.00019079434128585823,-0.009541684945922162,0.43827560365303764,0.15709667975549485,-0.00010316203179657254
SOL,LightGBM,ohlc,raw,long_short,0.05336517497121121,0.5748378352212218,0.044618348661384546,0.000595147755176996,-0.010500116691570074,0.42639655803097076,0.15219651375892546,-8.697696119955817e-05
SOL,Logistic Regression,ohlc,raw,long_short,0.07341021152186328,0.7818471337579618,0.032381242178602956,0.001234171285556029,0.07543166448529393,0.40210843373493976,0.05794483757282845,0.0010508153640876978
XRP,Logistic Regression,candle,extended,long_short,-0.0332126838500103,0.8162650602409638,0.010224043857768386,-0.0007204780185029618,0.01617667612346736,0.708250087320992,0.14424421041256094,0.00016979561318597954
XRP,Logistic Regression,ohlc,extended,long_short,0.002235660229075574,0.8280254777070064,0.01021672207277799,5.05603176902622e-05,0.02383705305980431,0.6356404881335629,0.11108042974684071,0.0002565904724683142
XRP,Logistic Regression,ohlc,raw,long_short,-0.029376822114663064,0.7525062656641603,0.03837402772221203,-0.00039791051726745447,0.002945389362030355,0.6063728953414373,0.42070665467534035,2.875945370568856e-05
