Asset,Model,Model Family,Feature Set,Strategy Mode,Cost Regime,Validation Precision,Validation Recall,Validation Sharpe,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Threshold Feasible
BTC,Logistic Regression,ML,candle_extended,long_only,no_cost,0.6314699792960663,0.0546203438395415,0.0899462752732969,0.1095635927959323,0.5674676524953789,0.0552257600287821,0.0008474696202368,True
BTC,Logistic Regression,ML,candle_extended,long_only,with_cost,0.6314699792960663,0.0546203438395415,0.0556401438916085,0.0741809540242801,0.5674676524953789,0.0552257600287821,0.0005738097311425,True
BTC,Logistic Regression,ML,ohlc_extended,long_short,no_cost,0.821875,0.0193811710885901,0.0469219545547152,0.0486806596347242,0.5712550028587764,0.0308539745595075,0.0002195759643626,True
BTC,Logistic Regression,ML,ohlc_extended,long_short,with_cost,0.821875,0.0193811710885901,-0.0108950960169736,-0.0032216318526561,0.5712550028587764,0.0308539745595075,-1.4541682696183304e-05,True
BTC,Logistic Regression,ML,ohlc_extended,short_only,no_cost,0.64375,0.0384041759880686,0.0360410113443174,0.0476606404749518,0.5591766723842195,0.0604487298349712,0.0002021245341368,True
BTC,Logistic Regression,ML,ohlc_extended,short_only,with_cost,0.64375,0.0384041759880686,-0.0227058021855688,-0.0068342677797464,0.5591766723842195,0.0604487298349712,-2.900754133479861e-05,True
ETH,GRU,ML,ohlc_extended,long_only,no_cost,0.6272189349112426,0.0191266690725369,0.0294832953918702,-0.068303761214722,0.4886363636363636,0.0077268643306379,-0.0007134726924822,True
ETH,GRU,ML,ohlc_extended,long_only,with_cost,0.6272189349112426,0.0191266690725369,-0.0086777316996774,-0.1018107428792608,0.4886363636363636,0.0077268643306379,-0.0010634726924822,True
ETH,Logistic Regression,ML,candle_extended,long_short,no_cost,0.7981132075471697,0.0427801359233376,0.0483226929068302,0.1178008677355252,0.6247220163083766,0.0098632698375598,0.0012136459341006,True
ETH,Logistic Regression,ML,candle_extended,long_short,with_cost,0.7981132075471697,0.0427801359233376,0.0143526250991637,0.0873982379047717,0.6247220163083766,0.0098632698375598,0.0009005903785451,True
ETH,Logistic Regression,ML,ohlc_raw,short_only,no_cost,0.6428571428571429,0.0116948208650454,0.2518608006300656,0.0263632787871952,0.5397448478900884,0.1023255813953488,0.0002365440357469,True
ETH,Logistic Regression,ML,ohlc_raw,short_only,with_cost,0.6428571428571429,0.0116948208650454,0.2162645543731481,-0.0042984301444024,0.5397448478900884,0.1023255813953488,-3.857863353669027e-05,True
SOL,LightGBM,ML,ohlc_extended,long_only,no_cost,0.62882096069869,0.0262677854797519,0.251677858453291,0.0492998106452817,0.573015873015873,0.0648580668343514,0.0005215700914548,True
SOL,LightGBM,ML,ohlc_extended,long_only,with_cost,0.62882096069869,0.0262677854797519,0.2314995395086018,0.0238195411777562,0.573015873015873,0.0648580668343514,0.0002521256470103,True
SOL,Logistic Regression,ML,ohlc_raw,long_short,no_cost,0.7818471337579618,0.0323812421786029,0.0734102115218632,0.0754316644852939,0.4021084337349397,0.0579448375728284,0.0010508153640876,True
SOL,Logistic Regression,ML,ohlc_raw,long_short,with_cost,0.7818471337579618,0.0323812421786029,0.0575803074189659,0.0580277107661423,0.4021084337349397,0.0579448375728284,0.0008082767706057,True
SOL,LightGBM,ML,candle_extended,short_only,no_cost,0.5773195876288659,0.0105006562910181,0.1320046751869621,0.0017770742025332,0.5138339920948617,0.0243354548858105,1.883014820278501e-05,True
SOL,LightGBM,ML,candle_extended,short_only,with_cost,0.5773195876288659,0.0105006562910181,0.1031030910402259,-0.027202897627769,0.5138339920948617,0.0243354548858105,-0.0002882844763031,True
XRP,GRU,ML,candle_extended,long_only,no_cost,0.6634615384615384,0.0125958378970427,-0.0054427004932181,0.0657073509416643,0.5822784810126582,0.0167211922937113,0.0012724842271128,True
XRP,GRU,ML,candle_extended,long_only,with_cost,0.6634615384615384,0.0125958378970427,-0.0170993863688414,0.049212218781529,0.5822784810126582,0.0167211922937113,0.0009534968853406,True
XRP,Logistic Regression,ML,ohlc_extended,long_short,no_cost,0.8280254777070064,0.0102167220727779,0.0022356602290755,0.0238370530598043,0.6356404881335629,0.1110804297468407,0.0002565904724683,True
XRP,Logistic Regression,ML,ohlc_extended,long_short,with_cost,0.8280254777070064,0.0102167220727779,-0.008953991493429,0.0074390583939156,0.6356404881335629,0.1110804297468407,8.008116697580401e-05,True
XRP,Logistic Regression,ML,ohlc_extended,short_only,no_cost,0.6560509554140127,0.0195223654283548,-0.0393662301742675,0.0154086296233518,0.5415512465373962,0.2172624560103722,0.0001554786467035,True
XRP,Logistic Regression,ML,ohlc_extended,short_only,with_cost,0.6560509554140127,0.0195223654283548,-0.0508569797120568,-0.0018379659426413,0.5415512465373962,0.2172624560103722,-1.855182421058184e-05,True
