Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
candle,0.030024317697468536,0.5673106098378863,0.09913977004641973,0.0004002334124858087,0.021182871345016292,0.5329789823970363,0.08159154929177852,0.00035926001827985904,all_assets,long_only,with_cost
ohlc,0.02286621030734628,0.5750938427323331,0.0598183930136551,0.00030491884946519805,0.05270612488646564,0.5715881231691206,0.08533314784855961,0.0006096840462178106,all_assets,long_only,with_cost
candle,0.059078717931818535,0.5673106098378863,0.09913977004641973,0.0006626790173660148,0.04883652227289678,0.5329789823970363,0.08159154929177852,0.0006277093989301204,all_assets,long_only,no_cost
ohlc,0.05245692911522547,0.5750938427323331,0.0598183930136551,0.0005569441813728685,0.08505378736815805,0.5715881231691206,0.08533314784855961,0.0008762619393009851,all_assets,long_only,no_cost
candle,-0.00045479419849004223,0.5479117374041004,0.07551984077946779,-4.8628901490917454e-05,-0.02542196627867769,0.51162935002586,0.2284592406041894,-0.00021290783678563755,all_assets,short_only,with_cost
ohlc,0.014799906675563326,0.5663677913462379,0.050920194671968476,-5.4356582470498e-05,-0.03508784915892246,0.509122795010371,0.1747678798651884,-0.0003513321543737362,all_assets,short_only,with_cost
candle,0.033204118684263276,0.5479117374041004,0.07551984077946779,0.00021268556258596127,0.00411214199817316,0.51162935002586,0.2284592406041894,3.1865711753564144e-06,all_assets,short_only,no_cost
ohlc,0.049191989998498005,0.5663677913462379,0.050920194671968476,0.0002060982201174328,-0.003102020304575487,0.509122795010371,0.1747678798651884,-0.00012766697375561598,all_assets,short_only,no_cost
candle,0.012677541174281971,0.6628754246890222,0.06962464349171209,0.00011175983485125875,-0.002579684825676161,0.5328647093320551,0.13578416462147846,-6.318046841596177e-06,all_assets,long_short,with_cost
ohlc,0.019275836309561093,0.6532839618869047,0.06342161224695977,0.0001174188674193357,-0.0184008295888885,0.5100141762759687,0.13233665407581965,-0.00014457202788306837,all_assets,long_short,with_cost
candle,0.0430783333443416,0.6628754246890222,0.06962464349171209,0.000368453422425916,0.02428859131070202,0.5328647093320551,0.13578416462147846,0.00022159727392178163,all_assets,long_short,no_cost
ohlc,0.05119286302318971,0.6532839618869047,0.06342161224695977,0.00036787581675143437,0.012473007138676677,0.5100141762759687,0.13233665407581965,8.073587541047907e-05,all_assets,long_short,no_cost
candle,0.050582828678344634,0.5837979290976902,0.09953731538342099,0.00036607989260441546,0.006686182998347951,0.530629297051307,0.09466392010138072,9.494757389765714e-05,btc,long_only,with_cost
ohlc,0.019476953599497266,0.5739143547848493,0.057476764185386255,0.0001660471375930665,0.12819723685366766,0.6258067879320843,0.0473332750130313,0.001003929445858369,btc,long_only,with_cost
candle,0.09438460013683889,0.5837979290976902,0.09953731538342099,0.0006390098520647873,0.04638347135369169,0.530629297051307,0.09466392010138072,0.0003572268515020414,btc,long_only,no_cost
ohlc,0.06563037323279008,0.5739143547848493,0.057476764185386255,0.00041402725273906554,0.18506325928677508,0.6258067879320843,0.0473332750130313,0.0012962185816770245,btc,long_only,no_cost
candle,0.0008202627949194649,0.5563120006651349,0.08190272803576742,1.9618767448942443e-05,-0.033538444626680916,0.5203008861743559,0.29888027351302837,-0.00015501470857289917,btc,short_only,with_cost
ohlc,-0.012866054406168783,0.5649978183692621,0.08653469149921583,-6.16611117313562e-05,-0.03491685064996825,0.5142300106601231,0.1960509656604286,-0.00019225447920589086,btc,short_only,with_cost
candle,0.049896289393496565,0.5563120006651349,0.08190272803576742,0.0003081743006413261,0.01600414710771478,0.5203008861743559,0.29888027351302837,6.123294183900768e-05,btc,short_only,no_cost
ohlc,0.031413254530695475,0.5649978183692621,0.08653469149921583,0.0001805028954447802,0.01365982958872757,0.5142300106601231,0.1960509656604286,3.292237711139915e-05,btc,short_only,no_cost
candle,0.02892282085131074,0.6763960060685187,0.07747488080051729,0.000203862258297417,-0.0015059625887053653,0.5164623127429262,0.14812475735717745,4.118397746096188e-05,btc,long_short,with_cost
ohlc,0.001890866756741855,0.6594421891632197,0.11346528246471763,-1.0398860237318388e-06,-0.02298552964450314,0.5313037923132196,0.11730870231914947,-0.00011199705443489586,btc,long_short,with_cost
candle,0.07471922124169615,0.6763960060685187,0.07747488080051729,0.0004886100243210871,0.040741453323545423,0.5164623127429262,0.14812475735717745,0.00029077731787246694,btc,long_short,no_cost
ohlc,0.04818036133345801,0.6594421891632197,0.11346528246471763,0.00023779630209696878,0.0320172481150614,0.5313037923132196,0.11730870231914947,0.00014215663413543345,btc,long_short,no_cost
candle,-0.00617682933989264,0.5544183387501965,0.09927151464270226,-1.7848946804290567e-05,-0.02492656041195374,0.5040725960947862,0.06728289922207624,-0.00032024574124805283,eth,long_only,with_cost
ohlc,-0.00028038689297647714,0.5607620467808122,0.07746752400063649,4.900692585600501e-05,-0.016832153194146812,0.556338669090797,0.13402962137732688,-0.00013458131473004884,eth,long_only,with_cost
candle,0.0270932340710053,0.5544183387501965,0.09927151464270226,0.000258401840342349,0.004685287249190974,0.5040725960947862,0.06728289922207624,-2.689935185991076e-05,eth,long_only,no_cost
ohlc,0.03120625829915179,0.5607620467808122,0.07746752400063649,0.0002954707246057797,0.009571078186824447,0.556338669090797,0.13402962137732688,0.00011351254118555264,eth,long_only,no_cost
candle,-0.00890644321715929,0.5517443273201493,0.10808025274701967,-3.7789640230767585e-05,-0.030487294466771425,0.5123444943087664,0.20447811332381519,-0.00023307216429752613,eth,short_only,with_cost
ohlc,0.04632480550745649,0.5811612441838218,0.057730276349996675,0.000349651195449698,-0.028331466593989694,0.5272739370369935,0.09319001288855522,-0.0001973254180348644,eth,short_only,with_cost
candle,0.032596088991078416,0.5517443273201493,0.10808025274701967,0.00021025369935386123,-0.0032560691159963895,0.5123444943087664,0.20447811332381519,-1.4131251034069082e-05,eth,short_only,no_cost
ohlc,0.09163541722916231,0.5811612441838218,0.057730276349996675,0.0006059624425667294,0.008235351299855444,0.5272739370369935,0.09319001288855522,4.9079563202702705e-05,eth,short_only,no_cost
candle,-0.007528885403695047,0.6460727883587823,0.09637983635118713,-3.908227170028328e-05,-0.0001949229106066484,0.5261100600600368,0.1185969203615542,1.3157619891026439e-05,eth,long_short,with_cost
ohlc,0.009773243348161572,0.6229847827797327,0.05437634643902289,4.664310192314338e-05,-0.02529644125740331,0.4415591207835747,0.11456065458215815,-0.00019544796469998007,eth,long_short,with_cost
candle,0.02627926013514024,0.6460727883587823,0.09637983635118713,0.00019831791470078475,0.02635789459115263,0.5261100600600368,0.1185969203615542,0.00025040625933706663,eth,long_short,no_cost
ohlc,0.04798209546897444,0.6229847827797327,0.05437634643902289,0.00029170705901510426,0.006098916803300014,0.4415591207835747,0.11456065458215815,4.760693555695678e-05,eth,long_short,no_cost
candle,0.004755175351679038,0.5849268662191752,0.10135028086105355,0.00020607456528990348,0.07257028250103446,0.5550363523774401,0.04247934119747457,0.0012295172488687297,xrp,long_only,with_cost
ohlc,-0.002972835955290079,0.6009666927321605,0.036096305111780275,-2.240394980321513e-05,0.11089963347082948,0.5755478932880265,0.03909833025489082,0.0015256245370907624,xrp,long_only,with_cost
candle,0.024699451599460766,0.5849268662191752,0.10135028086105355,0.0004503370171391005,0.0932885122691103,0.5550363523774401,0.04247934119747457,0.0014981248672111902,xrp,long_only,no_cost
ohlc,0.01709367004744989,0.6009666927321605,0.036096305111780275,0.0002428600224523484,0.13793216143453696,0.5755478932880265,0.03909833025489082,0.0018164575597234335,xrp,long_only,no_cost
candle,-0.02554408052481614,0.556830029853953,0.0431172132625573,-0.0004725546476176543,-0.03099939635832961,0.5095611404558129,0.2595258602991147,-0.00039018487277836983,xrp,short_only,with_cost
ohlc,-0.0091426349186913,0.5774276353290559,0.031187420930012838,-0.0008487725646638537,-0.026793129948795597,0.5037897927356063,0.3500145328173782,-0.00031718028216415876,xrp,short_only,with_cost
candle,-0.005720336233323369,0.556830029853953,0.0431172132625573,-0.00020793481167496534,-0.013342014112573885,0.5095611404558129,0.2595258602991147,-0.00019300240867206253,xrp,short_only,no_cost
ohlc,0.012049118477420729,0.5774276353290559,0.031187420930012838,-0.0005692473703163819,-0.01287119679325674,0.5037897927356063,0.3500145328173782,-0.00016687314472039468,xrp,short_only,no_cost
candle,-0.01701363484161331,0.66973920944577,0.03324644534747318,-0.00024677327530064983,-0.024440373747456688,0.5364925132557711,0.15000524584947716,-0.0002920061760309341,xrp,long_short,with_cost
ohlc,0.00817793065707402,0.6820789774522049,0.028879168966918195,-0.0003236309067575278,-0.018508021240871194,0.5521715732547019,0.1995420771877642,-0.00022760381038867733,xrp,long_short,with_cost
candle,0.002497993443802782,0.66973920944577,0.03324644534747318,1.491083175865283e-05,-0.007096418358778056,0.5364925132557711,0.15000524584947716,-8.672908939001266e-05,xrp,long_short,no_cost
ohlc,0.031012088986133227,0.6820789774522049,0.028879168966918195,-5.359692218607905e-05,-0.00411432876876736,0.5521715732547019,0.1995420771877642,-6.719785337117443e-05,xrp,long_short,no_cost
candle,0.0709360960997431,0.5460993052844834,0.09639996929850211,0.0010466281388532062,0.030401580292636503,0.542177684064612,0.12194003664618255,0.00043282099160110217,sol,long_only,with_cost
ohlc,0.0752411104781544,0.5647322766315104,0.06823297875681739,0.0010270252842149356,-0.0020038285885875086,0.5286591423655744,0.12087136474898942,4.3763516652159986e-05,sol,long_only,with_cost
candle,0.09013758591996919,0.5460993052844834,0.09639996929850211,0.0013029673599178225,0.05098881821959418,0.542177684064612,0.12194003664618255,0.0006823852288671609,sol,long_only,no_cost
ohlc,0.09589741488151012,0.5647322766315104,0.06823297875681739,0.0012754187256942804,0.02014983455432284,0.5286591423655744,0.12087136474898942,0.00027885907461792974,sol,long_only,no_cost
candle,0.03181108415309579,0.5267605917771642,0.06897916907252673,0.0002962099144358096,-0.006662729662928805,0.5043108791645047,0.15095271528079934,-7.335960149375511e-05,sol,short_only,with_cost
ohlc,0.03488351051965689,0.5418844675028118,0.028228389908648562,0.0003433561510635199,-0.050309949442936305,0.49119743960876117,0.05981600809439166,-0.0006985684380900309,sol,short_only,with_cost
candle,0.05604443258580149,0.5267605917771642,0.06897916907252673,0.0005402490620236231,0.017042504113548136,0.5043108791645047,0.15095271528079934,0.00015864700256854958,sol,short_only,no_cost
