Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.021031635570942668,0.6722063538377192,0.0994679808343995,0.0001474238398025834,0.009854021625783468,0.5327602818648066,0.157873747368194,4.2053944650389594e-05
LightGBM,0.05240187933667926,0.5952140521789159,0.044340856197139525,0.0004578171226815777,0.02489776965143917,0.5227021474707162,0.09446822278871128,0.0001950820472260703
Logistic Regression,0.05128160542151778,0.7660892449832091,0.026405291124837735,0.0004228233570623351,0.037107101014724087,0.547121415170129,0.13915774127925037,0.0003416535936421714
RSI,-0.0006851350184429502,0.5365458633102781,0.4686306506122848,-2.13339950522469e-06,-5.779113941412539e-05,0.5246810844398475,0.4633945747208438,-8.203554390701434e-06
SMA,-0.0017529135398224758,0.5340852252111392,0.11668981359187697,-5.190860917655673e-05,-0.00891500019011095,0.4934342767365068,0.1231908838916565,-0.00011815162163899314
XGBoost,0.01880868923260277,0.5287242622534798,0.12018108852246978,0.0001486165319608751,0.011806010574899087,0.5120156565871962,0.1897686036962893,8.898347271132076e-05
