Bundle,Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime,Feature Type,Model
table10_feasible,candle,0.0300243176974685,0.5673106098378863,0.0991397700464197,0.0004002334124858,0.0211828713450162,0.5329789823970363,0.0815915492917785,0.0003592600182798,all_assets,long_only,with_cost,,
table10_feasible,ohlc,0.0228662103073462,0.5750938427323331,0.0598183930136551,0.0003049188494651,0.0527061248864656,0.5715881231691206,0.0853331478485596,0.0006096840462178,all_assets,long_only,with_cost,,
table10_feasible,candle,0.0590787179318185,0.5673106098378863,0.0991397700464197,0.000662679017366,0.0488365222728967,0.5329789823970363,0.0815915492917785,0.0006277093989301,all_assets,long_only,no_cost,,
table10_feasible,ohlc,0.0524569291152254,0.5750938427323331,0.0598183930136551,0.0005569441813728,0.085053787368158,0.5715881231691206,0.0853331478485596,0.0008762619393009,all_assets,long_only,no_cost,,
table10_feasible,candle,-0.00045479419849,0.5479117374041004,0.0755198407794677,-4.8628901490917454e-05,-0.0254219662786776,0.51162935002586,0.2284592406041894,-0.0002129078367856,all_assets,short_only,with_cost,,
table10_feasible,ohlc,0.0147999066755633,0.5663677913462379,0.0509201946719684,-5.4356582470498e-05,-0.0350878491589224,0.509122795010371,0.1747678798651884,-0.0003513321543737,all_assets,short_only,with_cost,,
table10_feasible,candle,0.0332041186842632,0.5479117374041004,0.0755198407794677,0.0002126855625859,0.0041121419981731,0.51162935002586,0.2284592406041894,3.1865711753564144e-06,all_assets,short_only,no_cost,,
table10_feasible,ohlc,0.049191989998498,0.5663677913462379,0.0509201946719684,0.0002060982201174,-0.0031020203045754,0.509122795010371,0.1747678798651884,-0.0001276669737556,all_assets,short_only,no_cost,,
table10_feasible,candle,0.0126775411742819,0.6628754246890222,0.069624643491712,0.0001117598348512,-0.0025796848256761,0.5328647093320551,0.1357841646214784,-6.318046841596177e-06,all_assets,long_short,with_cost,,
table10_feasible,ohlc,0.019275836309561,0.6532839618869047,0.0634216122469597,0.0001174188674193,-0.0184008295888885,0.5100141762759687,0.1323366540758196,-0.000144572027883,all_assets,long_short,with_cost,,
table10_feasible,candle,0.0430783333443416,0.6628754246890222,0.069624643491712,0.0003684534224259,0.024288591310702,0.5328647093320551,0.1357841646214784,0.0002215972739217,all_assets,long_short,no_cost,,
table10_feasible,ohlc,0.0511928630231897,0.6532839618869047,0.0634216122469597,0.0003678758167514,0.0124730071386766,0.5100141762759687,0.1323366540758196,8.073587541047907e-05,all_assets,long_short,no_cost,,
table10_feasible,candle,0.0505828286783446,0.5837979290976902,0.0995373153834209,0.0003660798926044,0.0066861829983479,0.530629297051307,0.0946639201013807,9.494757389765714e-05,btc,long_only,with_cost,,
