Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.10961227036725907,0.7318453463311926,0.1957340177184781,0.0011679230003234242,0.0673293849082641,0.5505367999617921,0.22797207404417733,0.0008717664070303614
LightGBM,0.16071077533594533,0.6123719353707723,0.029130071324915668,0.0014042667891791573,0.007301334170701741,0.5190636156067795,0.08123953287549844,0.00012967973196552666
Logistic Regression,0.11101263076268564,0.7311105761015315,0.020812954289212576,0.0011354093084494138,0.057848782592448904,0.608454200724063,0.09462980936161992,0.0005477613361572905
RSI,-0.006198942813248982,0.5216175855672001,0.4908211776786654,-5.0253218796411634e-05,0.002222981026091073,0.5186860342140067,0.49016362775485567,6.087024006367091e-05
SMA,-0.015435467626576911,0.5391544702513522,0.14775056968243763,-0.00019079434128585823,-0.011481885409041416,0.43827560365303764,0.15709667975549485,-0.00010316203179657254
XGBoost,0.0699292845895475,0.5202105380335758,0.14814638833341895,0.0004940966733439687,0.0075561919502747585,0.5019693425814258,0.20410822150799776,0.00010685727166942176
