Asset,Model,Model Family,Feature Set,Strategy Mode,Cost Regime,Validation Precision,Validation Recall,Validation Sharpe,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Threshold Feasible
BTC,GRU,ML,candle_extended,long_only,no_cost,0.6225165562913907,0.016867037502242957,0.20634560237196803,0.15583666046265168,0.625,0.019823391602090467,0.001180858930883797,True
BTC,GRU,ML,candle_raw,long_only,no_cost,0.5315315315315315,0.010586757581195047,0.025295617180715053,0.15334338422213734,0.5307692307692308,0.012434672914038566,0.0016305226401508548,True
BTC,GRU,ML,ohlc_extended,long_only,no_cost,0.585635359116022,0.05706082899694958,0.03083211173620878,0.10221812285773457,0.563953488372093,0.03496125428005046,0.0006854152668512124,True
BTC,GRU,ML,ohlc_raw,long_only,no_cost,0.5255474452554745,0.051677731921765654,0.03032223800819313,0.00920685415633277,0.5149193548387097,0.2301315552351775,6.671625104438999e-05,True
BTC,GRU,ML,candle_extended,long_only,with_cost,0.6225165562913907,0.016867037502242957,0.17387774949564774,0.13072858204486532,0.625,0.019823391602090467,0.0009879612036110702,True
BTC,GRU,ML,candle_raw,long_only,with_cost,0.5315315315315315,0.010586757581195047,0.007249912198782054,0.13248137911525723,0.5307692307692308,0.012434672914038566,0.0014097534093816242,True
BTC,GRU,ML,ohlc_extended,long_only,with_cost,0.585635359116022,0.05706082899694958,-0.002004619068229175,0.07530300287501662,0.563953488372093,0.03496125428005046,0.0005053280575488869,True
BTC,GRU,ML,ohlc_raw,long_only,with_cost,0.5255474452554745,0.051677731921765654,-0.005361528675783587,-0.002206052980664818,0.5149193548387097,0.2301315552351775,-1.5985361858835797e-05,True
BTC,GRU,ML,candle_extended,long_short,no_cost,0.6145124716553289,0.02431365512291405,0.0950032532583083,0.030683440653675207,0.5325494986511936,0.01990547544987844,0.00021991739530290632,True
BTC,GRU,ML,candle_raw,long_short,no_cost,0.7520976353928299,0.0618423341291305,0.007328864548559955,0.00261840928602398,0.5817263544536272,0.40277112122415976,1.0860573231368102e-05,True
