Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,,0.52,True,0.2162645543731481,0.6428571428571429,0.0116948208650454,0.0020471148781512,188.0,0.0089497716894977,-0.0042984301444024,0.5397448478900884,0.1023255813953488,-3.857863353669027e-05,-0.3029494531687188,-0.3660249026769386,1602.0,1602.0,-0.9977601228771208,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_raw/eth/trading_log.csv,feasible
SOL,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.6700000000000002,,True,0.251677858453291,0.62882096069869,0.0262677854797519,0.0036516687056818,384.0,0.0209132420091324,0.0492998106452817,0.573015873015873,0.0648580668343514,0.0005215700914548,0.3407921435460137,-0.2514171751295654,970.0,970.0,1.1062374439459852,"{""model_dir"": ""models/lightgbm/ohlc_extended/sol"", ""tree_device"": ""cpu""}",data/trading_logs/no_cost/long_only/lightgbm/ohlc_extended/sol/trading_log.csv,feasible
SOL,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.6700000000000002,,True,0.2314995395086018,0.62882096069869,0.0262677854797519,0.0033582189240224,384.0,0.0209132420091324,0.0238195411777562,0.573015873015873,0.0648580668343514,0.0002521256470103,-0.0452022522020308,-0.3576222745994932,970.0,970.0,-0.036730650067087,"{""model_dir"": ""models/lightgbm/ohlc_extended/sol"", ""tree_device"": ""cpu""}",data/trading_logs/with_cost/long_only/lightgbm/ohlc_extended/sol/trading_log.csv,feasible
SOL,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,long_short,no_cost,0.51,0.5800000000000001,True,0.0734102115218632,0.7818471337579618,0.0323812421786029,0.001234171285556,954.0,0.0574429223744292,0.0754316644852939,0.4021084337349397,0.0579448375728284,0.0010508153640876,2.0396358712428992,-0.3376511937222757,1610.0,1607.0,2.29864883543204,"{""model_dir"": ""models/logistic_regression/ohlc_raw/sol""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_raw/sol/trading_log.csv,feasible
SOL,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,long_short,with_cost,0.51,0.5800000000000001,True,0.0575803074189659,0.7818471337579618,0.0323812421786029,0.0009687499818994,954.0,0.0574429223744292,0.0580277107661423,0.4021084337349397,0.0579448375728284,0.0008082767706057,0.730532428531395,-0.3991138914737741,1610.0,1607.0,1.2425273319997054,"{""model_dir"": ""models/logistic_regression/ohlc_raw/sol""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_raw/sol/trading_log.csv,feasible
SOL,LightGBM,ML,candle_extended,candle,extended,short_only,short,no_cost,,0.6800000000000002,True,0.1320046751869621,0.5773195876288659,0.0105006562910181,0.0014505572605917,176.0,0.0088584474885844,0.0017770742025332,0.5138339920948617,0.0243354548858105,1.883014820278501e-05,-0.0093050733903262,-0.1441181402991631,444.0,444.0,0.0253285686535028,"{""model_dir"": ""models/lightgbm/candle_extended/sol"", ""tree_device"": ""cpu""}",data/trading_logs/no_cost/short_only/lightgbm/candle_extended/sol/trading_log.csv,feasible
SOL,LightGBM,ML,candle_extended,candle,extended,short_only,short,with_cost,,0.6800000000000002,True,0.1031030910402259,0.5773195876288659,0.0105006562910181,0.0011330314873958,176.0,0.0088584474885844,-0.027202897627769,0.5138339920948617,0.0243354548858105,-0.0002882844763031,-0.1519243462274018,-0.1964094297535574,444.0,444.0,-0.8001180096350764,"{""model_dir"": ""models/lightgbm/candle_extended/sol"", ""tree_device"": ""cpu""}",data/trading_logs/with_cost/short_only/lightgbm/candle_extended/sol/trading_log.csv,feasible
XRP,GRU,ML,candle_extended,candle,extended,long_only,long,no_cost,0.56,,True,-0.0054427004932181,0.6634615384615384,0.0125958378970427,-0.000138012151627,176.0,0.0095177084286629,0.0657073509416643,0.5822784810126582,0.0167211922937113,0.0012724842271128,0.1861145826924179,-0.167771201815519,288.0,288.0,0.7401765463955752,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",data/trading_logs/no_cost/long_only/gru/candle_extended/xrp/trading_log.csv,feasible
XRP,GRU,ML,candle_extended,candle,extended,long_only,long,with_cost,0.56,,True,-0.0170993863688414,0.6634615384615384,0.0125958378970427,-0.0004341659977809,176.0,0.0095177084286629,0.049212218781529,0.5822784810126582,0.0167211922937113,0.0009534968853406,0.0723844274945082,-0.1700060593368616,288.0,288.0,0.3691909184282689,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}",data/trading_logs/with_cost/long_only/gru/candle_extended/xrp/trading_log.csv,feasible
XRP,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.6500000000000001,0.5800000000000001,True,0.0022356602290755,0.8280254777070064,0.0102167220727779,5.05603176902622e-05,234.0,0.0147945205479452,0.0238370530598043,0.6356404881335629,0.1110804297468407,0.0002565904724683,0.5468920586671455,-0.321312184443804,2214.0,2210.0,1.0005650359650695,"{""model_dir"": ""models/logistic_regression/ohlc_extended/xrp""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_extended/xrp/trading_log.csv,feasible
XRP,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.6500000000000001,0.5800000000000001,True,-0.008953991493429,0.8280254777070064,0.0102167220727779,-0.0002022174600875,234.0,0.0147945205479452,0.0074390583939156,0.6356404881335629,0.1110804297468407,8.008116697580401e-05,-0.2873207575229111,-0.4962872558501124,2214.0,2210.0,-0.3710195288472961,"{""model_dir"": ""models/logistic_regression/ohlc_extended/xrp""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_extended/xrp/trading_log.csv,feasible
XRP,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,no_cost,,0.5800000000000001,True,-0.0393662301742675,0.6560509554140127,0.0195223654283548,-0.0008604812632437,224.0,0.0143378995433789,0.0154086296233518,0.5415512465373962,0.2172624560103722,0.0001554786467035,0.2533645919176273,-0.3618934308994945,2154.0,2154.0,0.6414128413449673,"{""model_dir"": ""models/logistic_regression/ohlc_extended/xrp""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_extended/xrp/trading_log.csv,feasible
XRP,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,with_cost,,0.5800000000000001,True,-0.0508569797120568,0.6560509554140127,0.0195223654283548,-0.0011101627919061,224.0,0.0143378995433789,-0.0018379659426413,0.5415512465373962,0.2172624560103722,-1.855182421058184e-05,-0.4103482320724941,-0.5336166723811946,2154.0,2154.0,-0.7940854923104078,"{""model_dir"": ""models/logistic_regression/ohlc_extended/xrp""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_extended/xrp/trading_log.csv,feasible
