Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.06395591979349165,0.6028558948528093,0.03880129179331307,5.037218850838807e-05,-0.038117507276295926,0.4991363032048902,0.08939844040103972,-0.0007117964834470269
LightGBM,-0.028991097818273324,0.5572301982407453,0.017532221379833207,-0.0006633725534743345,-0.051869848105906245,0.4878503207214363,0.18521948508983144,-0.0008354072024575394
Logistic Regression,-0.059569695788735125,0.5769791755254489,0.035585670962850646,-0.001255915287839964,-0.013525001113368705,0.517268080410866,0.5522318947953324,-0.00015745015487034913
RSI,-0.010242096012952909,0.5265858208955224,0.4284629981024668,-7.468009057230989e-05,-0.016133824657957874,0.5174328225627359,0.43220181784455575,-0.0002647632003903527
SMA,0.0002901914972436382,0.49344978165938863,0.021511517228250523,0.0001511962377994429,-0.06856459462263959,0.46867749419953597,0.03760938372742506,-0.0018839867103911817
XGBoost,-0.048676791374416155,0.5304217577839421,0.04861637604245641,-0.0007723904251232744,-0.02105416041339105,0.49969222152791026,0.22953324689757362,-0.0002787993191699962
