Asset,Model,Strategy Mode,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,LightGBM,long_only,0.0795686331337153,0.000303763557796175,0.19351840371781867
BTC,XGBoost,long_only,0.04409619934146315,0.000236109052900275,0.8750610346828678
BTC,Logistic Regression,long_only,0.035488363409261904,0.00028569542008065,0.2425924547972387
BTC,GRU,long_only,0.021074527661095452,0.00016911394506185644,0.16678172148157694
BTC,RSI,long_only,0.013766552675378,7.118248499666593e-05,0.684341795455713
BTC,SMA,long_only,0.003113129395164,1.9845360824742227e-05,0.0223449224685375
BTC,LightGBM,long_short,0.0626308073518638,0.000284117378409275,0.6347736078592405
BTC,XGBoost,long_short,0.057946852358989775,0.00029751939075052503,1.2446264439049637
BTC,Logistic Regression,long_short,0.042303842154672575,0.0002585976762579,0.5639670826901593
BTC,RSI,long_short,0.0197333973564222,9.733987064469016e-05,0.9760437488381424
BTC,GRU,long_short,0.017467836515644125,0.00011417659878943369,0.36271200757296207
BTC,SMA,long_short,0.003113129395164,1.9845360824742227e-05,0.0223449224685375
BTC,LightGBM,short_only,0.06102749631045973,0.00027753040038942496,0.6045493027012308
BTC,XGBoost,short_only,0.04955227083653752,0.00023893276299035001,0.7212782481524294
BTC,Logistic Regression,short_only,0.04125717586517917,0.0001584570451810389,0.687273109645766
BTC,GRU,short_only,0.015689748471816135,0.0001015853379023733,0.08035921377703932
BTC,RSI,short_only,0.0138015991864709,6.501867505405936e-05,0.4483223584022039
BTC,SMA,short_only,0.0007118814599938,3.838654642944182e-06,0.022247160433157
ETH,XGBoost,long_only,0.031762001641730826,0.000282724449048725,0.48972188145755974
ETH,Logistic Regression,long_only,0.029424649374088976,0.000312161101832925,0.12721439486784053
ETH,LightGBM,long_only,0.024160091230868826,0.0002535836761489,0.5407608586807815
ETH,GRU,long_only,0.020370641186955665,0.00020012944272694675,0.20670955986212883
ETH,RSI,long_only,0.0082100266622158,6.763358778625944e-05,0.2991263922796144
ETH,SMA,long_only,0.0010015369867416,8.399999999999987e-06,0.0124518863028972
ETH,XGBoost,long_short,0.0371155724051279,0.00028289648206104997,1.173324255453079
ETH,LightGBM,long_short,0.028842459243466376,0.000256455594467325,0.6249849377807233
ETH,Logistic Regression,long_short,0.02327631804570765,0.00020731580876101382,0.2792151220175536
ETH,GRU,long_short,0.02137764033512285,0.00017767827930666413,0.2798330898358986
ETH,RSI,long_short,0.0123390937698134,9.46798590965603e-05,0.2730020414277806
