Asset,Model,Model Family,Input Type,Feature Type,Feature Set,Strategy Label,Cost Regime,Threshold Feasible,Feasibility Bucket,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params
BTC,GRU,ML,ohlc,extended,ohlc_extended,long,no_cost,True,feasible,0.13718682749936734,0.6158730158730159,0.0348106944195227,0.0005614692440999765,456,0.028827674567584883,,1.0,0.00018021265092809516,0.0052868659541549,0.005286865954154951,0.0,2.0,2.0,0.8952860965187713,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}"
BTC,GRU,ML,ohlc,extended,ohlc_extended,long,with_cost,True,feasible,0.07149101585512685,0.6158730158730159,0.0348106944195227,0.00030813591076664327,456,0.028827674567584883,,1.0,0.00018021265092809516,0.0049368659541549,0.004585138051070858,-0.0003500000000000725,2.0,2.0,0.8297267160643204,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}"
ETH,GRU,ML,candle,extended,candle_extended,long_short,no_cost,True,feasible,-0.0068935534366690275,0.6558660933660934,0.016352408249780376,-2.3887244197143538e-05,436,0.028095543149995423,0.007094853679597204,0.7868525896414342,0.013031306379826062,9.01285560218323e-05,0.014489587673427007,-0.17441619608178405,338.0,338.0,0.15835423404346477,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/eth""}"
ETH,GRU,ML,candle,extended,candle_extended,long_short,with_cost,True,feasible,-0.03849177725470186,0.6558660933660934,0.016352408249780376,-0.0002724214461515408,436,0.028095543149995423,-0.021424350401612696,0.7868525896414342,0.013031306379826062,-0.0001445936662003899,-0.09872691821272117,-0.19247625274785962,338.0,338.0,-0.6653120247825777,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/eth""}"
SOL,Logistic Regression,ML,candle,extended,candle_extended,long_short,no_cost,True,feasible,0.16757682488638195,0.777533039647577,0.011904445915866823,0.0011692027436091686,314,0.020821917808219178,0.0786101948375557,0.7750210260723297,0.061482522180651554,0.0005986364189425306,0.9254031267531855,-0.18517476264702037,1362.0,1362.0,1.8693159976888842,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}"
SOL,Logistic Regression,ML,candle,extended,candle_extended,long_short,with_cost,True,feasible,0.1282724465730061,0.777533039647577,0.011904445915866823,0.0009281939716793441,314,0.020821917808219178,0.04390897522151088,0.7750210260723297,0.061482522180651554,0.0003986783652512555,0.19534320443587894,-0.2588486940802128,1362.0,1362.0,0.6205438958555016,"{""model_dir"": ""models/logistic_regression/candle_extended/sol""}"
SOL,Logistic Regression,ML,candle,raw,candle_raw,long_short,no_cost,True,feasible,0.06099712521968212,0.7601156069364161,0.01696726234189345,0.0006620644660825724,452,0.03168949771689498,0.039707101135823264,0.7459341117597998,0.22088728525452644,0.0002740248321709351,1.9178230464750192,-0.3907221382868783,2362.0,2363.0,1.685561235708966,"{""model_dir"": ""models/logistic_regression/candle_raw/sol""}"
SOL,Logistic Regression,ML,candle,raw,candle_raw,long_short,with_cost,True,feasible,0.03642476716186079,0.7601156069364161,0.01696726234189345,0.00043411057559265874,452,0.03168949771689498,0.019218256388298858,0.7459341117597998,0.22088728525452644,0.00018778343129538795,0.27522195000763827,-0.467106496973664,2362.0,2363.0,0.6241622477303985,"{""model_dir"": ""models/logistic_regression/candle_raw/sol""}"
XRP,GRU,ML,ohlc,extended,ohlc_extended,long_short,no_cost,True,feasible,0.21841034493221337,0.8181818181818181,0.010956613133939459,0.0021208666471366476,306,0.017205088313352247,0.3322901761389604,0.7368421052631579,0.001272264631043257,0.0024691082235398366,0.047439237387030264,-0.029997135237987305,28.0,28.0,1.2483397696141108,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/xrp""}"
XRP,GRU,ML,ohlc,extended,ohlc_extended,long_short,with_cost,True,feasible,0.18288612241916957,0.8181818181818181,0.010956613133939459,0.0018360262216047328,306,0.017205088313352247,0.2983405793247931,0.7368421052631579,0.001272264631043257,0.0022112134866977317,0.03724152537653169,-0.03067938779524093,28.0,28.0,1.0024110178876844,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/xrp""}"
XRP,GRU,ML,ohlc,extended,ohlc_extended,long,no_cost,True,feasible,0.2157290073313649,0.6363636363636364,0.021723256663015698,0.002106316665455017,304,0.017113571886153565,0.3322901761389604,0.7368421052631579,0.002544529262086514,0.0024691082235398366,0.047439237387030264,-0.029997135237987305,28.0,28.0,1.2483397696141108,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/xrp""}"
XRP,GRU,ML,ohlc,extended,ohlc_extended,long,with_cost,True,feasible,0.1805005312256327,0.6363636363636364,0.021723256663015698,0.001821824686845392,304,0.017113571886153565,0.2983405793247931,0.7368421052631579,0.002544529262086514,0.0022112134866977317,0.03724152537653169,-0.03067938779524093,28.0,28.0,1.0024110178876844,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/xrp""}"
XRP,GRU,ML,candle,extended,candle_extended,long_short,no_cost,True,feasible,0.02436598185562845,0.7244755244755245,0.016398975287721763,0.0003941191573003916,372,0.024800951770842867,-0.006667177232437581,0.7170906200317966,0.03200986361101786,-6.528845917262071e-06,-0.05367860553700765,-0.22055114272810594,722.0,722.0,-0.01173574018958995,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}"
XRP,GRU,ML,candle,extended,candle_extended,long_short,with_cost,True,feasible,0.005072403370429063,0.7244755244755245,0.016398975287721763,0.00015389775508636936,372,0.024800951770842867,-0.020622271293303872,0.7170906200317966,0.03200986361101786,-0.00020425967533823218,-0.265023628058378,-0.3313768304355733,722.0,722.0,-0.7224179138364638,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/xrp""}"
XRP,LightGBM,ML,candle,extended,candle_extended,long,no_cost,True,feasible,0.01592160036420963,0.651685393258427,0.010568513119533527,0.0006367235614654961,136,0.008127853881278539,0.2533017421378779,0.6857142857142857,0.013062409288824383,0.005192066774516311,0.6666556571319455,-0.14454259741290842,174.0,174.0,1.8676780210727848,"{""model_dir"": ""models/lightgbm/candle_extended/xrp"", ""tree_device"": ""cpu""}"
XRP,LightGBM,ML,candle,extended,candle_extended,long,with_cost,True,feasible,0.0041046412209405966,0.651685393258427,0.010568513119533527,0.0003693078311284178,136,0.008127853881278539,0.2343822547835647,0.6857142857142857,0.013062409288824383,0.004902066774516312,0.5683872234417446,-0.14578216252896836,174.0,174.0,1.6625288387971713,"{""model_dir"": ""models/lightgbm/candle_extended/xrp"", ""tree_device"": ""cpu""}"
XRP,Logistic Regression,ML,candle,extended,candle_extended,long_short,no_cost,True,feasible,-0.04157362852948685,0.8162650602409638,0.010224043857768386,-0.0007204780185029618,234,0.0154337899543379,-0.006186124806997965,0.6599756690997567,0.14433682015510588,-1.629092123214821e-05,-0.18939035723966002,-0.40147037027889243,2034.0,2032.0,-0.0745221801788524,"{""model_dir"": ""models/logistic_regression/candle_extended/xrp""}"
