Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.02586164330331198,0.5624354817803539,0.026795380728978708,0.00027349227585015534,0.021708858090814985,0.5189274705384338,0.12457322551662174,0.00011974220474848782
LightGBM,0.03198635467735767,0.5411315948504506,0.1739913544668588,0.00028962619577389863,0.04112323022971742,0.5523022071749114,0.16008614501076812,0.0004475190123935983
Logistic Regression,0.027665196373412655,0.5711595574212459,0.0591678674351585,0.0002991764046805065,-0.03309948591235979,0.5271741320669661,0.022523330940416364,-0.00030288343147634
RSI,-0.0023268644770472486,0.553082191780822,0.46566948999819785,4.946477167861074e-06,-0.009345292981071214,0.5365321701199564,0.44157242864835755,-6.0714310352809175e-05
SMA,-0.033335168578443986,0.5252225519287834,0.03214091156709642,-0.00021174691295544357,0.03681217039929372,0.5232,0.05914270211611503,0.00031663626971977963
XGBoost,0.01697175437894336,0.5337111307336241,0.09429034582132564,0.0001385882880176782,0.012731351538000662,0.5254160209939801,0.11109117013639627,0.0001464224594779963
