Asset,Model,Strategy Mode,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,LightGBM,long_only,0.07462156054828026,0.000292643155713275,0.2301187018854996
BTC,XGBoost,long_only,0.045503388113363,0.00022300584298225,0.8323804798670497
BTC,Logistic Regression,long_only,0.04071208019863845,0.000282564650588275,0.23472841547017687
BTC,GRU,long_only,0.028247167838400835,0.00020421765734257498,0.2201920207274799
BTC,RSI,long_only,0.0170495722146074,7.118248499666593e-05,0.684341795455713
BTC,SMA,long_only,0.0030285576259058,1.9845360824742227e-05,0.0223449224685375
BTC,LightGBM,long_short,0.06176951194380102,0.00027932975186045,0.5351987494321911
BTC,Logistic Regression,long_short,0.0515743664745344,0.00024735880787045,0.5434919082473287
BTC,XGBoost,long_short,0.03997040997845885,0.000274023968671125,1.2037626285812573
BTC,GRU,long_short,0.02790908956759245,0.0001299205865396262,0.40730222749410805
BTC,RSI,long_short,0.0172036863710545,9.733987064469016e-05,0.9760437488381424
BTC,SMA,long_short,0.0030285576259058,1.9845360824742227e-05,0.0223449224685375
BTC,LightGBM,short_only,0.0570855448791831,0.0002728974583002,0.4927771477322658
BTC,GRU,short_only,0.04606318637510385,0.00015400713128253332,0.5736482208834556
BTC,Logistic Regression,short_only,0.0452872658374259,0.00015452533424469434,0.7119873213430541
BTC,XGBoost,short_only,0.0337606705490543,0.00021850724681925002,0.7144786193312974
BTC,RSI,short_only,0.0108860294532103,6.501867505405936e-05,0.4483223584022039
BTC,SMA,short_only,0.0005064157145135,3.838654642944182e-06,0.022247160433157
ETH,GRU,long_only,0.0348413775184597,0.00019509367931071694,0.191937404991735
ETH,Logistic Regression,long_only,0.031169896160148352,0.0003122785087287,0.12316335487642979
ETH,XGBoost,long_only,0.028176269447853376,0.000262358626790125,0.475719947634783
ETH,LightGBM,long_only,0.027380095906728,0.00023205908656199998,0.6789318381313549
ETH,RSI,long_only,0.0045684386802526,6.763358778625944e-05,0.2991263922796144
ETH,SMA,long_only,0.0011908030732365,8.399999999999987e-06,0.0124518863028972
ETH,LightGBM,long_short,0.027949514398990224,0.00023322377650434998,0.7522772337101025
ETH,GRU,long_short,0.026253421562095276,0.000206088127068025,0.24119451659989805
ETH,XGBoost,long_short,0.02525090535085365,0.00026622174290945,0.8178820010040493
ETH,Logistic Regression,long_short,0.020037581258188976,0.00020195390464021888,0.30947897171403804
ETH,RSI,long_short,0.0030712761122208,9.46798590965603e-05,0.2730020414277806
ETH,SMA,long_short,0.0007336187799482,9.54306130124106e-06,0.0641137431089843
ETH,LightGBM,short_only,0.036520833569925824,0.000252781814000125,0.1960738570973055
ETH,GRU,short_only,0.03302665358534328,0.000204481279227675,0.16240100590839027
ETH,XGBoost,short_only,0.029732829514392475,0.000242258651780225,0.5759505430315364
ETH,Logistic Regression,short_only,0.0168689367602157,0.0001760008330776439,0.3107303744908534
ETH,RSI,short_only,0.0045016114003647,6.389382277481745e-05,0.2797898516264598
ETH,SMA,short_only,0.0005090067269846,4.710056275997057e-06,0.0357487159070895
SOL,Logistic Regression,long_only,0.02584135300115365,0.00026001920054745,0.4171692522555216
SOL,LightGBM,long_only,0.02385488785831895,0.000266338673793425,0.27032642971994725
SOL,XGBoost,long_only,0.018568362029138825,0.00020244444530122499,0.7266781295921902
SOL,GRU,long_only,0.012319177693632975,0.00015611233466307048,0.26094096081054063
SOL,RSI,long_only,0.0067600957523611,6.520746887966803e-05,0.5374805449016757
SOL,SMA,long_only,0.0016135069540125,2.2804532577903837e-05,0.0166687230413529
SOL,Logistic Regression,long_short,0.0267133201994727,0.0001805021822692618,0.9336364271499066
SOL,XGBoost,long_short,0.020874382683708125,0.00023582733877105003,1.0256780168287536
SOL,LightGBM,long_short,0.018884112874494048,0.00023663032255665,0.4330233001971989
SOL,GRU,long_short,0.011701194252672626,0.00011706906579820112,0.27548754844720225
SOL,RSI,long_short,0.0083565516588995,0.0001029511697893,0.868055313636798
SOL,SMA,long_short,0.0005847752103764,1.1273940800928602e-05,0.0428064024173359
SOL,Logistic Regression,short_only,0.029742462281611926,0.00019214653333519537,0.7043812669516785
SOL,GRU,short_only,0.028815591274258326,0.000195679186326025,0.072759684800262
SOL,XGBoost,short_only,0.024955021760583226,0.000248026148154575,0.5087171721334243
SOL,LightGBM,short_only,0.02069112914893665,0.0002429464835347,0.2843387057902679
SOL,RSI,short_only,0.0058656674202901,5.785440613026819e-05,0.4934716737032032
SOL,SMA,short_only,0.000207964917689,3.765060240963844e-06,0.0192932240336737
XRP,XGBoost,long_only,0.028708214481386975,0.000261873063659725,0.5306940071510011
XRP,LightGBM,long_only,0.028194854615879974,0.00030512172202792497,0.1050317773203514
XRP,Logistic Regression,long_only,0.025227715342146476,0.00024517348795404946,0.26951452321708724
XRP,GRU,long_only,0.022434214968483468,0.00028168021941166665,0.04512051992873425
XRP,RSI,long_only,0.0096016661048134,6.78848509595753e-05,0.8359703740353243
XRP,SMA,long_only,0.0021753320499194,1.7256162915326736e-05,0.0693776359069562
XRP,XGBoost,long_short,0.015983862045082075,0.00024968670259615,0.8553819116599295
XRP,GRU,long_short,0.0138597094667721,0.00018945762856905003,0.1079734915893075
XRP,LightGBM,long_short,0.010679924014045576,0.00022006665735767498,0.3376345640756342
XRP,Logistic Regression,long_short,0.00535305941284137,7.70937425965234e-05,0.3107697414128848
XRP,RSI,long_short,0.0014748700029931,5.899745772079142e-05,0.1984619528403056
XRP,SMA,long_short,0.0004900378930634,1.608367626886151e-05,0.0237103663036006
XRP,XGBoost,short_only,0.014503534634800249,0.00021112489982585,0.5537906803877436
XRP,LightGBM,short_only,0.011013185652299376,0.000225554273269875,0.3073682526811309
XRP,GRU,short_only,0.006623873740460375,0.000159969326306775,0.1352569566274057
XRP,Logistic Regression,short_only,0.004503065101735984,7.683096015695131e-05,0.2535367237381195
XRP,RSI,short_only,0.0012486993419011,4.958916278036859e-05,0.1063576581905098
XRP,SMA,short_only,0.0005079779372502,2.5174013921113817e-05,0.0088453238539096
