Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.026073320137015087,0.5721446985532033,0.08492300333051084,0.0001039356807629388,-0.05544263535505146,0.5158116502415104,0.09130420734719685,-0.0003747684781405756
LightGBM,0.024577768645554336,0.5637302702423275,0.03213734943488981,0.0001180571577014444,-0.015109989935608286,0.5074882056506047,0.1104562091739235,-0.0002287981148072961
Logistic Regression,0.017034936726697758,0.5743462493402904,0.039682269974569286,-6.196872064943161e-05,-0.00484112630436196,0.526864798909092,0.331520182133992,-4.327897609959491e-05
RSI,-0.017269009582629787,0.5271346356820202,0.4861277799856346,-0.00018287441873595698,-0.01271915040710079,0.5162364155683966,0.48381425683635493,-0.00012164149421426372
SMA,-0.0014827334394233373,0.49697747170870343,0.27190004110240246,2.0080651863989898e-05,-0.023374617449262596,0.48483446064514063,0.3067466478598069,-0.0005030647282158175
XGBoost,-0.025655705599813082,0.521472744485645,0.08460824454828784,-0.00026720970879310653,-0.024454000849917758,0.5031240409734002,0.19977696737912629,-0.00020648495138849928
