Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
candle,0.021005718793583008,0.5600001989340194,0.12259129126139157,0.0002832247660754963,0.01588480381948075,0.5324893359667295,0.0910178850789771,0.0002844842607494104,all_assets,long_only,with_cost
ohlc,0.01924954473713585,0.5680186157677223,0.06622690886123848,0.0002463798303408035,0.024677085934313697,0.5414645556139323,0.11130415392396757,0.0003186412121834952,all_assets,long_only,with_cost
candle,0.049244763914222486,0.5600001989340194,0.12259129126139157,0.0005413417566738846,0.04282641171449478,0.5324893359667295,0.0910178850789771,0.0005505182930033633,all_assets,long_only,no_cost
ohlc,0.04811801766274979,0.5680186157677223,0.06622690886123848,0.0004919751600025012,0.054505661714279376,0.5414645556139323,0.11130415392396757,0.0005624191814402989,all_assets,long_only,no_cost
candle,-0.005246878316345796,0.5401850935748921,0.10397937973589894,-8.757948846340848e-05,-0.022126183692545445,0.5135407543580658,0.2775363126207069,-0.00017660732420737233,all_assets,short_only,with_cost
ohlc,0.006475471689204909,0.5620044157294241,0.0735344431544897,-0.0001034133580721635,-0.05140121308719168,0.4976814947651435,0.19872163166157703,-0.001491135246321442,all_assets,short_only,with_cost
candle,0.02638209236436676,0.5401850935748921,0.10397937973589894,0.00015907827054823865,0.006158551941724066,0.5135407543580658,0.2775363126207069,2.747999814651857e-05,all_assets,short_only,no_cost
ohlc,0.0391868529406923,0.5620044157294241,0.0735344431544897,0.0001527776559762143,-0.0222379679230606,0.4976814947651435,0.19872163166157703,-0.0012763759849852866,all_assets,short_only,no_cost
candle,0.003512307248789269,0.6513211888519926,0.08181076548094326,3.6939069730477557e-05,-0.002359414936150773,0.5364477089246448,0.1492840236274553,4.727426162916192e-06,all_assets,long_short,with_cost
ohlc,0.010718914337141656,0.6297957677746694,0.06338684285848009,7.526103152788597e-05,-0.010394189917096617,0.5208520416217793,0.14135013393876728,-0.00010047777619884556,all_assets,long_short,with_cost
candle,0.03190109791325288,0.6513211888519926,0.08181076548094326,0.0002777408527146447,0.024873977508258673,0.5364477089246448,0.1492840236274553,0.0002273790753010663,all_assets,long_short,no_cost
ohlc,0.03986080686761841,0.6297957677746694,0.06338684285848009,0.0003105995730390707,0.016958473925164273,0.5208520416217793,0.14135013393876728,0.0001065074538139573,all_assets,long_short,no_cost
candle,0.03703284753529176,0.5662254301214249,0.09693548513041542,0.0003101039574535932,0.03413761899311123,0.5443290545010645,0.08752299380835496,0.00034982665973146745,btc,long_only,with_cost
ohlc,0.005548645459524071,0.5634888449806122,0.06422806510051275,7.51072761971306e-05,0.03616696997756591,0.5523325600001013,0.08040229645833676,0.00015943304429105873,btc,long_only,with_cost
candle,0.07821565938220056,0.5662254301214249,0.09693548513041542,0.0005824078964484889,0.07380128010848627,0.5443290545010645,0.08752299380835496,0.0006095299090566983,btc,long_only,no_cost
ohlc,0.052492385026913044,0.5634888449806122,0.06422806510051275,0.0003152716274617149,0.08661717063495888,0.5523325600001013,0.08040229645833676,0.00039707078288540827,btc,long_only,no_cost
candle,-0.0048376039743029415,0.5350079373763014,0.15232032893262842,-8.96112322615281e-06,-0.018925765347075872,0.515301826032075,0.41395926979555625,-9.182149731395276e-05,btc,short_only,with_cost
ohlc,-0.005183411453316867,0.5712272180913389,0.07722264977659687,-1.975496494805987e-05,-0.05959404976019444,0.5296266958691306,0.19212438573477802,-0.0003582437496145401,btc,short_only,with_cost
candle,0.03552492972800825,0.5350079373763014,0.15232032893262842,0.00022443468600334937,0.020639191036149175,0.515301826032075,0.41395926979555625,8.09014372720613e-05,btc,short_only,no_cost
ohlc,0.042864405532964826,0.5712272180913389,0.07722264977659687,0.00023741787382279504,-0.011322997417572377,0.5296266958691306,0.19212438573477802,-0.00012643612514838786,btc,short_only,no_cost
candle,0.007469880675435942,0.6455611289532358,0.07966722050854261,9.281268895163834e-05,0.0022976866583474427,0.5414329171608947,0.14872183109563863,7.053814901015108e-05,btc,long_short,with_cost
ohlc,0.004359356547103767,0.6467180926872703,0.05955510414660959,1.351600017290693e-05,0.0034042134605299333,0.5397775038970885,0.12491608586258575,2.6988422531154416e-05,btc,long_short,with_cost
candle,0.048866958154187005,0.6455611289532358,0.07966722050854261,0.00035219400913509823,0.044343964673230124,0.5414329171608947,0.14872183109563863,0.00031132111502829476,btc,long_short,no_cost
ohlc,0.05320901614308153,0.6467180926872703,0.05955510414660959,0.00026196821983064095,0.05153260463623249,0.5397775038970885,0.12491608586258575,0.000263410978616668,btc,long_short,no_cost
candle,-0.01851770489256146,0.5458445680820472,0.12371247804296662,-0.00014650438285975648,-0.04655250369988611,0.4934512143337173,0.07521191988694595,-0.0005067899255758082,eth,long_only,with_cost
ohlc,0.012611362893815505,0.5619117325156348,0.0724603063896657,0.00018229210025449754,-0.010794119387695084,0.5387745811827006,0.1311994326980816,-0.000113181749184255,eth,long_only,with_cost
candle,0.015751993497318952,0.5458445680820472,0.12371247804296662,0.00012013374926419447,-0.018481661099859315,0.4934512143337173,0.07521191988694595,-0.0002234338252791334,eth,long_only,no_cost
ohlc,0.0420610015413234,0.5619117325156348,0.0724603063896657,0.0004285760620639919,0.014956254905734233,0.5387745811827006,0.1311994326980816,0.00013816481759411028,eth,long_only,no_cost
candle,-0.010046140103750545,0.5554618745155322,0.06290905810615627,-5.140157667945594e-05,-0.036089077645387206,0.5219640367270438,0.18145609429041343,-0.0002612926123185253,eth,short_only,with_cost
ohlc,0.05024059228138257,0.583172876557318,0.0362310606847535,0.0003855866588981559,-0.02307908957275062,0.5165573698303806,0.08201721945694485,-0.00015122327163243017,eth,short_only,with_cost
candle,0.0317653072814735,0.5554618745155322,0.06290905810615627,0.00020740943428756552,-0.003999406004175305,0.5219640367270438,0.18145609429041343,-2.3562305372363612e-05,eth,short_only,no_cost
ohlc,0.09714305825856324,0.583172876557318,0.0362310606847535,0.0006531280086002603,0.010869778619862614,0.5165573698303806,0.08201721945694485,0.0001020604520533678,eth,short_only,no_cost
candle,-0.00853824942939366,0.6668568085340582,0.07871234033302786,-4.628982718457476e-05,-0.007474730163833848,0.5014000982556893,0.11259192033389083,-4.6160326763950315e-05,eth,long_short,with_cost
ohlc,0.01791372020009143,0.6038615614104406,0.054590342258341945,0.00015506795687266332,-0.023759709032161114,0.5083064040783367,0.12240608996749291,-0.00019526890307866202,eth,long_short,with_cost
candle,0.025271546221791275,0.6668568085340582,0.07871234033302786,0.0001969180456213688,0.02084824454371432,0.5014000982556893,0.11259192033389083,0.00020008780001673753,eth,long_short,no_cost
ohlc,0.05238832243157361,0.6038615614104406,0.054590342258341945,0.000380601534608497,0.0032233112750032294,0.5083064040783367,0.12240608996749291,2.0656052438767643e-05,eth,long_short,no_cost
candle,-0.016341782779747942,0.5705144378839804,0.16766097819584727,-0.00020667171698780828,0.050251701986701244,0.5477622426500657,0.09714128230979736,0.0009290621395625749,xrp,long_only,with_cost
ohlc,-0.01314406801661273,0.5896223560700696,0.042941869186260015,-0.000285167743892675,0.07956241854546568,0.5552836038601341,0.04034787587466545,0.001253654858720587,xrp,long_only,with_cost
candle,0.0005358880152062991,0.5705144378839804,0.16766097819584727,1.565597677687634e-05,0.06748252652761921,0.5477622426500657,0.09714128230979736,0.0011867018575448087,xrp,long_only,no_cost
ohlc,0.006954075451847972,0.5896223560700696,0.042941869186260015,-2.4561752581136845e-05,0.10275754463930209,0.5552836038601341,0.04034787587466545,0.001528555673242741,xrp,long_only,no_cost
candle,-0.03146996217030248,0.5491065422732874,0.044011943250999046,-0.0005410678416487104,-0.029985462328670987,0.5106818037230887,0.2668364804253679,-0.00033179068669866944,xrp,short_only,with_cost
ohlc,-0.05342512399715089,0.5708559150082049,0.03314602339895518,-0.0011492323962540034,-0.11664794951344176,0.44384969196127555,0.3163624719187521,-0.005099680298068347,xrp,short_only,with_cost
candle,-0.011303540898593282,0.5491065422732874,0.044011943250999046,-0.00027352361349903913,-0.010417592448131483,0.5106818037230887,0.2668364804253679,-0.0001261499590614057,xrp,short_only,no_cost
ohlc,-0.03854638630567177,0.5708559150082049,0.03314602339895518,-0.0008658111801191911,-0.10355096510504244,0.44384969196127555,0.3163624719187521,-0.004937547150105726,xrp,short_only,no_cost
candle,-0.02120589157185969,0.643222090958322,0.06668822226448082,-0.00031257787530271906,-0.015913909989220744,0.5048457592119935,0.17910945084234814,-0.00015000063169625736,xrp,long_short,with_cost
ohlc,-0.027104894479890066,0.6524163212071797,0.030029351175442816,-0.0005148359151017365,-0.017598920179734336,0.5530737520424063,0.15037424344051123,-0.00023166492998869252,xrp,long_short,with_cost
candle,-0.0035893678451284464,0.643222090958322,0.06668822226448082,-7.452585401717913e-05,0.002260211603132943,0.5048457592119935,0.17910945084234814,5.437554112139477e-05,xrp,long_short,no_cost
ohlc,-0.010259701354046712,0.6524163212071797,0.030029351175442816,-0.0002519958738661261,-0.0016369119720272204,0.5530737520424063,0.15037424344051123,-4.797147339610282e-05,xrp,long_short,no_cost
candle,0.08489528285872427,0.5550250067718585,0.09928281213298276,0.001242116534079558,0.01818529609216078,0.5405416002081179,0.10419534431081011,0.0002644209867372328,sol,long_only,with_cost
ohlc,0.07198223861181655,0.5570515295045727,0.08527739476851544,0.001013287688804261,-0.006226925398081714,0.5194674774127929,0.19326701066478646,-2.5341305093409768e-05,sol,long_only,with_cost
candle,0.10529522625231245,0.5550250067718585,0.09928281213298276,0.0015164007813663223,0.04055621800643069,0.5405416002081179,0.10419534431081011,0.0005299616334632542,sol,long_only,no_cost
ohlc,0.09096460863091475,0.5570515295045727,0.08527739476851544,0.0012486147030654348,0.013691676677122306,0.5194674774127929,0.19326701066478646,0.00018588545203893572,sol,long_only,no_cost
candle,0.0220883075012282,0.5222792012217471,0.14918025909319954,0.00019442654355252253,-0.004486839278563414,0.5058579821206838,0.24789340597149,-4.0922420809753964e-05,sol,short_only,with_cost
ohlc,0.030795535146317332,0.5276669985694081,0.13828758930725785,0.0003106021915043262,-0.003767602647200125,0.5070448559209402,0.2043824495358331,-4.629323204596078e-05,sol,short_only,with_cost
candle,0.04483096918870857,0.5222792012217471,0.14918025909319954,0.00042391733989516925,0.016339997134321934,0.5058579821206838,0.24789340597149,0.00015952707509679176,sol,short_only,no_cost
ohlc,0.05327389910988535,0.5276669985694081,0.13828758930725785,0.0005321761383978958,0.02055515184156124,0.5070448559209402,0.2043824495358331,0.00017246592036904376,sol,short_only,no_cost
candle,0.036323489320974484,0.6496447269623546,0.1021752788177218,0.0004138112924575657,0.011653293750104059,0.5981120610700014,0.15671289223794357,0.00014453251410172135,sol,long_short,with_cost
ohlc,0.04770747508126149,0.6161870957937869,0.10937257385352601,0.0006472960841677101,-0.003622343917020948,0.4822505064692858,0.16770411648447922,-1.965694259182135e-06,sol,long_short,with_cost
candle,0.05705525512216169,0.6496447269623546,0.1021752788177218,0.0006363772101192909,0.0320434892129573,0.5981120610700014,0.15671289223794357,0.0003437318450378381,sol,long_short,no_cost
ohlc,0.06410559024986523,0.6161870957937869,0.10937257385352601,0.0008518244115832709,0.014714891761448594,0.4822505064692858,0.16770411648447922,0.00018993425759649633,sol,long_short,no_cost
