Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
candle,0.049244763914222486,0.5600001989340194,0.12259129126139157,0.0005413417566738846,0.04282641171449478,0.5324893359667295,0.0910178850789771,0.0005505182930033633
ohlc,0.04811801766274979,0.5680186157677223,0.06622690886123848,0.0004919751600025012,0.054505661714279376,0.5414645556139323,0.11130415392396757,0.0005624191814402989
