Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
candle,0.025271546221791275,0.6668568085340582,0.07871234033302786,0.0001969180456213688,0.02084824454371432,0.5014000982556893,0.11259192033389083,0.00020008780001673753
ohlc,0.05238832243157361,0.6038615614104406,0.054590342258341945,0.000380601534608497,0.0032233112750032294,0.5083064040783367,0.12240608996749291,2.0656052438767643e-05
