Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
GRU,0.03998153843096018,0.742291213736249,0.07516527563289654,0.00024508471692303603,-0.022557340772837275,0.5039185519880062,0.11284706963034512,-0.00021027404133733857
LightGBM,0.01869902640978204,0.5952140521789159,0.04434085619713957,0.00017383187816235178,-0.008643276333358336,0.5227021474707162,0.09446822278871132,-5.881049752130348e-05
Logistic Regression,0.023374663628369992,0.7660892449832091,0.026405291124837794,0.00017257813341407203,0.01429165136031912,0.547121415170129,0.1391577412792504,0.00015230301412391228
RSI,-0.01416940809539368,0.5365458633102781,0.46863065061228487,-9.50449714032255e-05,-0.012290268037697512,0.5246810844398475,0.46339457472084383,-9.669564370354711e-05
SMA,-0.003369298759402844,0.5340852252111392,0.11668981359187701,-6.544283184526387e-05,-0.010476250034747139,0.4934342767365068,0.12319088389165656,-0.00013233813143797896
XGBoost,-0.01814847350142608,0.5287242622534798,0.12018108852246981,-0.00013313732395827096,-0.02505206308325283,0.5120156565871962,0.18976860369628934,-0.00018499862471459935
