1734008400000,231.36000000,232.60000000,228.61000000,229.97000000,219952.84200000,1734011999999,50669229.37494000,192214,109659.72800000,25272409.74243000,0
1734012000000,229.96000000,233.28000000,229.23000000,232.54000000,213293.72400000,1734015599999,49363363.03365000,207018,108907.85600000,25206386.60431000,0
1734015600000,232.54000000,232.66000000,230.16000000,231.30000000,171373.25300000,1734019199999,39657922.50459000,148059,81514.59500000,18865755.27361000,0
1734019200000,231.30000000,233.44000000,230.58000000,230.77000000,180879.67900000,1734022799999,41975775.99135000,165214,93916.65500000,21802463.20076000,0
1734022800000,230.77000000,234.30000000,230.72000000,234.03000000,132173.52100000,1734026399999,30794397.71713000,104710,73117.22100000,17037332.42147000,0
1734026400000,234.04000000,234.69000000,231.18000000,231.41000000,123658.14300000,1734029999999,28792224.09499000,100271,54262.61900000,12635582.69261000,0
1734030000000,231.41000000,231.70000000,226.59000000,227.24000000,327873.15200000,1734033599999,74924474.61796000,204418,123640.43200000,28254949.42011000,0
1734033600000,227.25000000,229.73000000,227.11000000,228.78000000,117791.22100000,1734037199999,26900373.09708000,112212,61187.91500000,13973524.96832000,0
1734037200000,228.77000000,228.85000000,226.86000000,227.60000000,102859.46300000,1734040799999,23449005.82041000,81931,48529.95400000,11063902.76636000,0
1734040800000,227.61000000,228.47000000,225.71000000,228.21000000,141371.64500000,1734044399999,32076351.06501000,74457,74254.74300000,16854965.87350000,0
1734044400000,228.20000000,228.36000000,226.52000000,226.96000000,75666.40000000,1734047999999,17198722.20121000,66967,36569.74100000,8312150.89196000,0
1734048000000,226.95000000,228.39000000,226.57000000,227.14000000,81873.23100000,1734051599999,18624916.02611000,66383,46058.49000000,10479069.94258000,0
1734051600000,227.14000000,227.15000000,224.27000000,226.20000000,178498.50300000,1734055199999,40270599.57642000,119062,68423.82600000,15438180.29472000,0
1734055200000,226.20000000,228.44000000,225.83000000,227.40000000,127083.94400000,1734058799999,28863048.21235000,82563,70162.09400000,15937411.39598000,0
1734058800000,227.40000000,227.95000000,226.65000000,227.17000000,74841.90700000,1734062399999,17016705.46122000,63799,37503.96100000,8528035.09327000,0
1734062400000,227.18000000,227.51000000,225.47000000,225.93000000,94466.03000000,1734065999999,21392759.08321000,59775,56535.35300000,12802649.55678000,0
1734066000000,225.93000000,226.85000000,225.59000000,225.64000000,89553.49800000,1734069599999,20258857.36383000,58584,49999.17100000,11312476.15197000,0
1734069600000,225.64000000,226.68000000,224.00000000,224.09000000,96064.23200000,1734073199999,21659223.98757000,65108,39418.07000000,8896943.34063000,0
1734073200000,224.10000000,225.21000000,223.09000000,224.81000000,156648.46100000,1734076799999,35108513.23789000,94904,71026.91300000,15923032.94778000,0
1734076800000,224.82000000,226.30000000,223.89000000,226.16000000,86550.89300000,1734080399999,19510873.47974000,66161,48986.13800000,11045579.95175000,0
1734080400000,226.16000000,226.57000000,224.31000000,225.36000000,74716.83300000,1734083999999,16835259.58365000,56987,36540.40300000,8235778.57343000,0
1734084000000,225.36000000,226.57000000,224.11000000,226.14000000,75982.76900000,1734087599999,17134748.11407000,64999,36629.91300000,8263752.80538000,0
1734087600000,226.14000000,227.27000000,225.58000000,225.61000000,76271.71700000,1734091199999,17266664.72831000,58375,37062.72200000,8391004.93207000,0
1734091200000,225.60000000,226.71000000,225.03000000,225.54000000,79450.41100000,1734094799999,17939764.30874000,66159,43741.06900000,9877251.03952000,0
1734094800000,225.54000000,225.59000000,222.58000000,223.48000000,201711.92200000,1734098399999,45114025.29191000,123552,79975.90600000,17891855.14720000,0
1734098400000,223.48000000,224.44000000,222.07000000,223.94000000,228359.92800000,1734101999999,50999835.14905000,172660,102647.62200000,22930538.89982000,0
1734102000000,223.94000000,226.18000000,220.70000000,221.13000000,296764.89300000,1734105599999,66395991.57408000,205216,142391.94500000,31890348.45200000,0
1734105600000,221.12000000,222.97000000,220.60000000,221.02000000,249226.64100000,1734109199999,55244212.07029000,213065,124493.23100000,27599057.40487000,0
1734109200000,221.02000000,223.89000000,220.90000000,223.34000000,121356.98300000,1734112799999,26960383.53956000,141182,66327.26700000,14736209.46432000,0
1734112800000,223.33000000,223.57000000,221.44000000,222.11000000,138292.45500000,1734116399999,30763570.41269000,116902,68234.53000000,15182652.35841000,0
1734116400000,222.11000000,223.53000000,221.79000000,223.28000000,68710.40200000,1734119999999,15309243.27029000,75460,35832.18600000,7983495.55886000,0
1734120000000,223.28000000,224.64000000,223.13000000,223.93000000,75511.71000000,1734123599999,16913026.14888000,69362,43488.01100000,9740533.78476000,0
1734123600000,223.93000000,224.22000000,223.07000000,223.75000000,59415.24300000,1734127199999,13290329.16831000,47214,32273.14700000,7219911.61286000,0
1734127200000,223.76000000,224.38000000,223.13000000,223.66000000,101520.88900000,1734130799999,22713868.28990000,48268,65589.25600000,14677060.98720000,0
1734130800000,223.66000000,224.92000000,223.28000000,224.79000000,56653.27600000,1734134399999,12699101.62531000,54661,30771.40200000,6897766.56625000,0
1734134400000,224.79000000,225.23000000,223.62000000,224.41000000,67572.08200000,1734137999999,15170043.63976000,61648,32718.58800000,7348255.36797000,0
1734138000000,224.40000000,227.00000000,224.37000000,225.64000000,117448.34800000,1734141599999,26543085.76977000,113897,64642.83100000,14608439.92733000,0
1734141600000,225.64000000,226.18000000,224.90000000,225.89000000,68792.96800000,1734145199999,15515103.53703000,54928,35099.93300000,7916630.67963000,0
1734145200000,225.89000000,226.48000000,225.57000000,226.23000000,62021.43400000,1734148799999,14025410.43473000,42809,33885.80100000,7662683.45886000,0
1734148800000,226.23000000,226.33000000,225.21000000,225.44000000,60575.57500000,1734152399999,13669350.86310000,45105,28895.31500000,6519953.12127000,0
1734152400000,225.44000000,226.20000000,225.14000000,226.20000000,45540.06100000,1734155999999,10275007.67046000,33794,22077.06300000,4981789.21448000,0
1734156000000,226.20000000,227.51000000,225.99000000,226.69000000,85881.85500000,1734159599999,19489249.83290000,45431,50138.70900000,11377946.50390000,0
1734159600000,226.69000000,227.05000000,225.80000000,225.97000000,60164.92400000,1734163199999,13612104.42566000,41183,30970.22900000,7007612.71646000,0
1734163200000,225.98000000,226.75000000,225.59000000,226.42000000,57038.78200000,1734166799999,12904377.85706000,44823,30617.72800000,6926452.41383000,0
1734166800000,226.42000000,226.64000000,225.47000000,225.95000000,67133.81600000,1734170399999,15175852.77206000,47383,32527.18700000,7353314.86501000,0
1734170400000,225.95000000,226.08000000,224.59000000,224.95000000,63178.69200000,1734173999999,14231352.37152000,51386,29237.36000000,6586847.77547000,0
1734174000000,224.94000000,225.32000000,224.06000000,224.36000000,46698.99500000,1734177599999,10504844.97367000,36530,22961.99700000,5165634.29131000,0
1734177600000,224.36000000,224.64000000,222.07000000,222.38000000,104119.39500000,1734181199999,23215133.40533000,85264,46165.63700000,10293457.93971000,0
1734181200000,222.38000000,222.67000000,220.42000000,220.86000000,143500.55000000,1734184799999,31792862.96299000,128537,61493.42200000,13629280.85985000,0
1734184800000,220.86000000,222.36000000,220.73000000,221.82000000,78212.43500000,1734188399999,17346406.12988000,61524,45162.54600000,10016515.71548000,0
1734188400000,221.82000000,223.39000000,221.48000000,222.56000000,64197.67500000,1734191999999,14289218.90974000,67442,35214.92700000,7838375.07258000,0
1734192000000,222.55000000,222.55000000,220.35000000,221.57000000,113768.79900000,1734195599999,25179003.24279000,103329,56127.26400000,12422387.18553000,0
1734195600000,221.56000000,222.04000000,218.14000000,218.33000000,169164.90100000,1734199199999,37158591.48660000,107158,73082.52700000,16046013.01522000,0
1734199200000,218.33000000,219.21000000,217.46000000,217.80000000,136594.32500000,1734202799999,29822490.72827000,104801,66810.42500000,14589846.53957000,0
1734202800000,217.81000000,218.46000000,216.73000000,218.03000000,118895.07000000,1734206399999,25880575.46178000,87973,59061.39800000,12858309.56801000,0
1734206400000,218.04000000,218.59000000,215.13000000,215.62000000,173532.84600000,1734209999999,37554100.43235000,95158,69690.08000000,15087625.01044000,0
1734210000000,215.62000000,217.78000000,215.53000000,217.39000000,76966.53700000,1734213599999,16706643.10305000,74908,43452.45700000,9431663.23488000,0
1734213600000,217.39000000,218.59000000,216.57000000,218.01000000,56982.59000000,1734217199999,12403584.95826000,44706,29300.46500000,6378526.96922000,0
1734217200000,218.02000000,220.91000000,217.75000000,219.93000000,117671.81600000,1734220799999,25852739.41411000,85463,65654.54900000,14421172.97780000,0
1734220800000,219.94000000,220.58000000,218.87000000,219.77000000,64786.34300000,1734224399999,14240413.08939000,63291,32396.61000000,7121122.65685000,0
1734224400000,219.77000000,221.54000000,219.66000000,221.23000000,72213.22400000,1734227999999,15935919.79395000,73230,41353.70300000,9126275.28017000,0
1734228000000,221.24000000,221.79000000,220.90000000,220.99000000,53116.60300000,1734231599999,11756264.87756000,48573,29044.90100000,6428888.04178000,0
1734231600000,220.99000000,221.17000000,219.42000000,219.44000000,47088.15600000,1734235199999,10368319.59879000,51163,19884.05600000,4378247.02319000,0
1734235200000,219.44000000,221.86000000,219.35000000,220.30000000,101267.34100000,1734238799999,22357151.23837000,79204,49852.17300000,11007280.41743000,0
1734238800000,220.29000000,221.34000000,220.06000000,220.18000000,46360.18700000,1734242399999,10230165.89157000,49605,25865.52000000,5707789.37075000,0
1734242400000,220.18000000,220.31000000,218.22000000,218.29000000,60244.96700000,1734245999999,13215862.18185000,55146,26119.90100000,5728992.40114000,0
1734246000000,218.30000000,218.80000000,215.68000000,217.27000000,113452.98000000,1734249599999,24641370.09173000,98041,50926.64100000,11060819.22269000,0
1734249600000,217.26000000,218.71000000,216.47000000,218.62000000,72234.81400000,1734253199999,15711987.98899000,64827,40383.29700000,8786490.07345000,0
1734253200000,218.61000000,219.49000000,218.00000000,219.29000000,53987.97300000,1734256799999,11817410.38068000,50522,33485.95900000,7329700.17004000,0
1734256800000,219.29000000,220.14000000,218.10000000,218.10000000,58682.76700000,1734260399999,12871012.88319000,47625,34077.71900000,7475850.35012000,0
1734260400000,218.11000000,218.68000000,217.70000000,218.41000000,65587.18200000,1734263999999,14310812.78385000,55345,34702.71800000,7572048.56899000,0
1734264000000,218.41000000,219.94000000,217.38000000,219.60000000,116750.35200000,1734267599999,25538451.23374000,109779,59495.29100000,13013726.72465000,0
1734267600000,219.60000000,221.22000000,218.17000000,219.45000000,141266.29700000,1734271199999,31037054.69946000,88423,92856.23900000,20408687.12325000,0
1734271200000,219.45000000,221.50000000,219.35000000,221.37000000,88636.72500000,1734274799999,19525527.20210000,73071,51342.05200000,11313180.61578000,0
1734274800000,221.37000000,221.44000000,220.00000000,220.88000000,87814.00600000,1734278399999,19380418.25611000,65532,52487.30300000,11584142.92847000,0
1734278400000,220.89000000,222.49000000,220.59000000,222.13000000,116419.59700000,1734281999999,25818203.06607000,81800,76098.13000000,16874916.55132000,0
1734282000000,222.13000000,222.21000000,220.94000000,221.37000000,57649.24300000,1734285599999,12768255.94205000,48033,28503.69900000,6312807.16385000,0
1734285600000,221.37000000,221.46000000,220.49000000,221.02000000,57286.80100000,1734289199999,12661215.00975000,45532,32534.82200000,7190672.97391000,0
1734289200000,221.01000000,222.08000000,221.00000000,221.24000000,48016.42000000,1734292799999,10644992.58852000,37733,26004.35700000,5764952.32028000,0
1734292800000,221.24000000,221.49000000,220.38000000,220.48000000,44999.52900000,1734296399999,9943651.86123000,36939,21750.42700000,4805440.31734000,0
1734296400000,220.47000000,220.62000000,216.60000000,216.85000000,143282.29000000,1734299999999,31244866.57627000,129780,70168.16000000,15292302.78927000,0
1734300000000,216.84000000,219.66000000,216.22000000,219.31000000,102525.83200000,1734303599999,22349191.30862000,73756,56635.33200000,12343346.58228000,0
1734303600000,219.31000000,225.50000000,219.28000000,224.27000000,317238.38000000,1734307199999,70761613.10638000,209134,167775.00300000,37410935.76785000,0
1734307200000,224.26000000,227.56000000,223.41000000,225.95000000,267039.62100000,1734310799999,60310297.97641000,201164,135677.09200000,30640767.51026000,0
1734310800000,225.95000000,227.14000000,225.25000000,225.58000000,177584.39500000,1734314399999,40150440.38673000,114983,90114.27600000,20374436.74511000,0
1734314400000,225.58000000,225.74000000,222.00000000,222.30000000,148791.66800000,1734317999999,33230511.09540000,119672,60284.75200000,13459027.67481000,0
1734318000000,222.30000000,222.94000000,220.45000000,221.25000000,120839.28600000,1734321599999,26795538.40945000,113366,62899.38200000,13949771.97694000,0
1734321600000,221.25000000,222.20000000,220.77000000,221.36000000,68597.55700000,1734325199999,15201214.42404000,67723,37958.91500000,8412734.86235000,0
1734325200000,221.35000000,222.47000000,220.60000000,222.35000000,65784.05300000,1734328799999,14587455.16981000,68883,37820.72600000,8387890.17372000,0
1734328800000,222.35000000,223.42000000,221.83000000,222.69000000,87492.49200000,1734332399999,19485678.92382000,64785,42229.62400000,9405797.67361000,0
