Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.5900000000000001,,True,0.028505036510178886,0.6197916666666666,0.04262177650429799,0.00017649247295471767,584,0.03506849315068493,0.012820693429327294,0.5698529411764706,0.02788271271811477,9.446142551627762e-05,-0.05632358055648623,-0.1558161873569539,436.0,436.0,-0.3727674529266543,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/with_cost/long_only/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.5900000000000001,,True,0.07159898361811426,0.6197916666666666,0.04262177650429799,0.0004426383062880509,584,0.03506849315068493,0.050789048873799855,0.5698529411764706,0.02788271271811477,0.00037497613139863043,0.09921592884587538,-0.10506702972728799,436.0,436.0,0.749535652425497,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/no_cost/long_only/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,with_cost,,0.5900000000000001,True,-0.022705802185568814,0.64375,0.038404175988068605,-0.0001091746226537377,516,0.029223744292237442,-0.006834267779746428,0.5591766723842195,0.06044872983497126,-2.9007541334798614e-05,-0.14520726099577275,-0.18883300026157424,770.0,770.0,-1.321717839937665,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,no_cost,,0.5900000000000001,True,0.036041011344317433,0.64375,0.038404175988068605,0.00017301287734626227,516,0.029223744292237442,0.0476606404749518,0.5591766723842195,0.06044872983497126,0.00020212453413689948,0.11921459727868178,-0.050455693386208145,770.0,770.0,1.028928375341079,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.6500000000000001,0.5900000000000001,True,-0.010895096016973676,0.821875,0.019381171088590176,-5.331535167625109e-05,520,0.029406392694063928,-0.003221631852656115,0.5712550028587764,0.030853974559507575,-1.4541682696183304e-05,-0.1421180836686482,-0.1906858059058555,794.0,793.0,-1.194758399463294,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.6500000000000001,0.5900000000000001,True,0.0469219545547152,0.821875,0.019381171088590176,0.00022929334397592274,520,0.029406392694063928,0.048680659634724274,0.5712550028587764,0.030853974559507575,0.00021957596436264016,0.1327328964757255,-0.05256466848177255,794.0,793.0,1.0616437128582243,"{""model_dir"": ""models/logistic_regression/ohlc_extended/btc""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,with_cost,0.5900000000000001,,True,0.055640143891608596,0.6314699792960663,0.05462034383954155,0.0004590156388602791,778,0.04410958904109589,0.0741809540242801,0.5674676524953789,0.055225760028782156,0.0005738097311425435,0.15736504634268567,-0.17278457308398587,846.0,846.0,0.8050533789016733,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/with_cost/long_only/logistic_regression/candle_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,no_cost,0.5900000000000001,,True,0.08994627527329699,0.6314699792960663,0.05462034383954155,0.0007408996968312935,778,0.04410958904109589,0.10956359279593234,0.5674676524953789,0.055225760028782156,0.0008474696202368132,0.5560895254934182,-0.12325288222962083,846.0,846.0,2.268212504443759,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/no_cost/long_only/logistic_regression/candle_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,with_cost,,0.5900000000000001,True,0.014855848461993604,0.6153846153846154,0.049217002237136466,8.83062097937526e-05,694,0.03917808219178082,-0.00298627904102195,0.5629343629343629,0.13517522714630076,-1.077181808877099e-05,-0.2578556256008321,-0.28360534209799104,1576.0,1576.0,-1.9917618651251245,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/with_cost/short_only/logistic_regression/candle_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,no_cost,,0.5900000000000001,True,0.06253140442157923,0.6153846153846154,0.049217002237136466,0.00037140644289398577,694,0.03917808219178082,0.05616302790620558,0.5629343629343629,0.13517522714630076,0.00020220115488420195,0.28845850937830386,-0.0663197767868775,1576.0,1576.0,1.805656227213444,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/no_cost/short_only/logistic_regression/candle_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,with_cost,0.5900000000000001,0.6800000000000002,True,0.060942378556896354,0.8157349896480331,0.02740338593915929,0.0005066184552599662,779,0.04420091324200913,0.07510802402268706,0.5337338262476894,0.02807644389349362,0.0005774053809625498,0.1645854533920157,-0.17148540093043985,862.0,858.0,0.8338193877525127,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/with_cost/long_short/logistic_regression/candle_extended/btc/trading_log.csv
BTC,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,no_cost,0.5900000000000001,0.6800000000000002,True,0.09513417803228574,0.8157349896480331,0.02740338593915929,0.0007893663891442637,779,0.04420091324200913,0.11105621533973835,0.5337338262476894,0.02807644389349362,0.0008537211704362338,0.5745855618630993,-0.11937527090124112,862.0,858.0,2.3198793489009524,"{""model_dir"": ""models/logistic_regression/candle_extended/btc""}",data/trading_logs/no_cost/long_short/logistic_regression/candle_extended/btc/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,long,with_cost,0.52,,True,0.0354438950184173,0.5954692556634305,0.03314121037463977,0.0004674526799337774,530,0.028219178082191782,0.0001767431524116588,0.5856697819314641,0.03374012921751615,2.460105448200484e-06,-0.12495956294587962,-0.240655829337326,586.0,586.0,-0.36538896058008563,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/with_cost/long_only/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,long,no_cost,0.52,,True,0.05823518474917777,0.5954692556634305,0.03314121037463977,0.0007676144922315119,530,0.028219178082191782,0.023143120318780203,0.5856697819314641,0.03374012921751615,0.00032193051043262423,0.07430644568426148,-0.13980957833034457,586.0,586.0,0.37129939753294205,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/no_cost/long_only/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,,0.52,True,0.21626455437314812,0.6428571428571429,0.01169482086504548,0.002047114878151266,188,0.008949771689497716,-0.004298430144402429,0.5397448478900884,0.10232558139534884,-3.857863353669027e-05,-0.3029494531687188,-0.36602490267693866,1602.0,1602.0,-0.9977601228771209,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,short,no_cost,,0.52,True,0.25186080063006566,0.6428571428571429,0.01169482086504548,0.002382829163865552,188,0.008949771689497716,0.026363278787195254,0.5397448478900884,0.10232558139534884,0.00023654403574692096,0.22124418525237988,-0.1550849672119129,1602.0,1602.0,0.7527456481429728,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,long_short,with_cost,0.6200000000000001,0.51,True,-0.016859335802790976,0.7819905213270142,0.044450607289723526,-0.00012400520473893935,1336,0.07735159817351599,-0.02799112275041178,0.25901833234772326,0.16297674418604652,-0.0002161360429827097,-0.7753618831793828,-0.8014761527995629,3776.0,3776.0,-2.770759228194859,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,long_short,no_cost,0.6200000000000001,0.51,True,0.020669137339300134,0.7819905213270142,0.044450607289723526,0.00015202785311230029,1336,0.07735159817351599,-0.0026976231457478,0.25901833234772326,0.16297674418604652,-2.0806453860628788e-05,-0.15734815826482096,-0.4900330785273209,3776.0,3776.0,-0.14033981199911244,"{""model_dir"": ""models/logistic_regression/ohlc_raw/eth""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_only,long,with_cost,0.51,,True,-0.03408984864341642,0.5103338632750397,0.05781700288184438,-0.00034612963848145177,1040,0.057442922374429224,-0.2502959302558765,0.16666666666666666,0.00017946877243359656,-0.002979665854032783,-0.020153441607648537,-0.034231052181412314,12.0,12.0,-0.6469928828513206,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/with_cost/long_only/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_only,long,no_cost,0.51,,True,-0.005597483999517199,0.5103338632750397,0.05781700288184438,-5.678146678033905e-05,1040,0.057442922374429224,-0.22089546057871753,0.16666666666666666,0.00017946877243359656,-0.002629665854032783,-0.016023014416211345,-0.031172738591520366,12.0,12.0,-0.5152151993944318,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/no_cost/long_only/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,short_only,short,with_cost,,0.53,True,0.03736437936913421,0.5335195530726257,0.03545572674958233,0.0003379410062214747,446,0.03269406392694064,-0.013030689909677338,0.4890593918726911,0.6403720930232558,-0.00010732343722922201,-0.7367704990875348,-0.8189163482278686,1947.0,1948.0,-1.4188285254334698,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/with_cost/short_only/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,short_only,short,no_cost,,0.53,True,0.0614061217324428,0.5335195530726257,0.03545572674958233,0.0005559577659980108,446,0.03269406392694064,-0.007145183786563648,0.4890593918726911,0.6403720930232558,-5.88366512104667e-05,-0.47919057026257916,-0.691885467123766,1947.0,1948.0,-0.5361057139036497,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/no_cost/short_only/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_short,long_short,with_cost,0.6100000000000001,0.53,True,0.038236565358666035,0.7667597765363128,0.017817921011678773,0.0003453882702686473,448,0.03278538812785388,-0.013030689909677338,0.4890593918726911,0.3201860465116279,-0.00010732343722922201,-0.7367704990875348,-0.8189163482278686,1947.0,1948.0,-1.4188285254334698,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/with_cost/long_short/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_short,long_short,no_cost,0.6100000000000001,0.53,True,0.062348076132653175,0.7667597765363128,0.017817921011678773,0.0005637726713828534,448,0.03278538812785388,-0.007145183786563648,0.4890593918726911,0.3201860465116279,-5.88366512104667e-05,-0.47919057026257916,-0.691885467123766,1947.0,1948.0,-0.5361057139036497,"{""model_dir"": ""models/logistic_regression/candle_raw/eth""}",data/trading_logs/no_cost/long_short/logistic_regression/candle_raw/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.5700000000000001,,True,-0.016929779635069753,0.5826086956521739,0.0603386167146974,-0.0001221687833403637,822,0.05251141552511415,0.02534218158513188,0.6015625,0.0414572864321608,0.0002219697498175537,-0.031282420369539654,-0.1814656338907349,584.0,584.0,-0.08842013252286676,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/with_cost/long_only/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.5700000000000001,,True,0.01773171190628808,0.5826086956521739,0.0603386167146974,0.0001280051297031144,822,0.05251141552511415,0.055741528833692336,0.6015625,0.0414572864321608,0.00048811558315088686,0.18840772357485047,-0.14987518468011363,584.0,584.0,0.9766623687073582,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/no_cost/long_only/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,with_cost,,0.5800000000000001,True,0.09975431344519257,0.6385542168674698,0.019677000185632076,0.00045026110511029864,266,0.015159817351598173,-0.04568024791428483,0.5398230088495575,0.022697674418604652,-0.0003909423548599333,-0.1460730436174047,-0.21649614378701576,350.0,350.0,-1.0404966357632257,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,short,no_cost,,0.5800000000000001,True,0.1619759912530402,0.6385542168674698,0.019677000185632076,0.0007306827918572863,266,0.015159817351598173,-0.014013479915706761,0.5398230088495575,0.022697674418604652,-0.00011992465574488923,-0.03475936040179739,-0.14838437238279512,350.0,350.0,-0.18880206432997038,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,with_cost,0.6200000000000001,0.5800000000000001,True,0.11455127351919903,0.6526104417670682,0.01019873064036647,0.0005309988227817562,278,0.015707762557077627,-0.05827544930294234,0.39491150442477874,0.011438571595519123,-0.0005034793746802919,-0.170621699715918,-0.2390202795743558,358.0,358.0,-1.2178921312798399,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.6200000000000001,0.5800000000000001,True,0.17561853741979166,0.6526104417670682,0.01019873064036647,0.0008138476599910584,278,0.015707762557077627,-0.02675181267864267,0.39491150442477874,0.011438571595519123,-0.00023108807033246585,-0.05987016077103402,-0.17053921039844233,358.0,358.0,-0.36349301231141273,"{""model_dir"": ""models/logistic_regression/ohlc_extended/eth""}",data/trading_logs/no_cost/long_short/logistic_regression/ohlc_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,with_cost,0.56,,True,0.012889141333385383,0.5962264150943396,0.08537463976945245,9.855928746710993e-05,1178,0.07260273972602739,-0.023989079737319428,0.5915492957746479,0.01507537688442211,-0.00021492587487134004,-0.0775271526012048,-0.11245609358863429,254.0,254.0,-0.62960940415964,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/with_cost/long_only/logistic_regression/candle_extended/eth/trading_log.csv
