asset,symbol,year,month,status,path
BTC,BTCUSDT,2022,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2022-08.csv
BTC,BTCUSDT,2022,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2022-09.csv
BTC,BTCUSDT,2022,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2022-10.csv
BTC,BTCUSDT,2022,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2022-11.csv
BTC,BTCUSDT,2022,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2022-12.csv
BTC,BTCUSDT,2023,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-01.csv
BTC,BTCUSDT,2023,2,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-02.csv
BTC,BTCUSDT,2023,3,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-03.csv
BTC,BTCUSDT,2023,4,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-04.csv
BTC,BTCUSDT,2023,5,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-05.csv
BTC,BTCUSDT,2023,6,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-06.csv
BTC,BTCUSDT,2023,7,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-07.csv
BTC,BTCUSDT,2023,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/BTCUSDT/BTCUSDT-1h-2023-08.csv
